# --------------------------- WARNING ------------------------------
# The data you have obtained are provisional and subject to revision.
#
# Contact your state water supply staff for assistance
# http://www.wcc.nrcs.usda.gov/partnerships/links_wsfs.html
#
# United States Department of Agriculture
# Natural Resources Conservation Service
# National Water and Climate Center
# Portland Oregon
#
# P R E C I P I T A T I O N   U P D A T E
#
# This report is based on mountain data from USDA-NRCS SNOTEL Sites
# Data are based on the first reading of the day (typically 00:00)
# Tuesday: February 10 2015
# 
# Medians and averages are calculated for the period 1981-2010.
#
# retrieved: Wednesday: February 10 2021 PDT
#
# This file contains the Columbia River Basin SNOTEL Precipitation Update Report
#
# This file contains a list of stations and basin summaries of hydrologic conditions.
# The fields are comma delimited and the first line after this header describes the contents of each column:
#
#    column                             column definition
#    -------------------------          -------------------------------------
#  1 Lat                                decimal latitude
#  2 Long                               decimal longitude w/negative sign
#  3 YYYYMMDD                           date of observation
#  4 Basin_name                         state sub-basin name
#  5 Station_id                         Snotel system identification code
#  6 Acton_id                           Snow Survey Program ACTON code
#  7 Station_name                       station name
#  8 Elevation                          elevation (feet)
#  9 Prcp_md_amt                        current total precipitation from the beginning of the month to the current date (inches)
# 10 Prcp_md_avg                        month to date precipitation Average (inches)
# 11 Prcp_md_pctavg                     current month to date precipitation as percent of Average
# 12 Prcp_md_pctavg_flag                month to date precipitation validity code
# 13 Prec_wd_amt                        water year to date precipitation (inches)
# 14 Prec_wd_avg                        water year to date precipitation Average (inches)
# 15 Prec_wd_pct                        water year to date precipitation as percent of Average
# 16 Prec_wd_pct_flag                   water year to date precipitation validity code
#
# Data-value qualification codes included in this output:
#  -997 Data may not provide a valid measure of conditions
#         If the current swe data value is > 0 and the Median is 0 then the percent of Median flag = -997
#         If either the current data value or the Median is missing then the percent of Median cell will be blank and the percent of Median flag will be -997
#         If the current swe value is < 10% of the Median peak swe then the percent of Median flag = -997
#         If over 1/2 of the stations for a basin report missing or invalid data then the percent of Median flag = -997
#  -998 No Normal available
#  -999 Missing data
#         If the current data value is missing then the current data value = -999
#         If the current precipitation is negative then the current precipitation value = -999
#         If the current swe is < -1 then the current swe value = -999
#         If over 1/2 of the stations for a basin are missing then the percent of Average cell is blank
#
# If the Basin Index (%) for comparison value is flagged as potentially invalid
# care should be taken to evaluate if the value is representative of conditions in the basin.
#
# The TOTAL PRECIPITATION percent of Average represents the total,,,,,,,,,,,,,,,,
# precipitation (beginning October 1st) found at selected SNOTEL sites in,,,,,,,,,,,,,,,,
# or near the basin compared to the Average value for those sites on this day.,,,,,,,,,,,,,,,,
# Site -- Either: (a) the current value is missing; 
#(b) the median or average for the day is not available or is zero; or 
#(c) for snow water equivalent the median for the day is less than 10% of the maximum median value for  the year.
# Basin - More than half of the sites within the basin are flagged with * preventing the 
#calculation of a meaningful basin index.
The basin index is calculated as the sum of the valid current values 
divided by the sum of the corresponding medians (for snow water equivalent)
or averages (for precipitation) and the resulting fraction multiplied by 100.
##########################################################################,,,,,,,,,,,,,
Lat,Long,YYYYMMDD,Basin_name,Station_id,Acton_id,Station_name,Elevation,Prcp_md_amt,Prcp_md_avg,Prcp_md_pctavg,Prcp_md_pctavg_flag,Prec_wd_amt,Prec_wd_avg,Prec_wd_pct,Prec_wd_pct_flag, 
48.5666667,-115.4500000,20150210,"KOOTENAI RIVER IN MONTANA",311,"15A08S","Banfield Mountain","5600",2.2,1.1,200,,17.1,17.8,96,,
48.3000000,-116.0666667,20150210,"KOOTENAI RIVER IN MONTANA",323,"16A08S","Bear Mountain","5400",9.1,2.3,396,,48.9,49.5,99,,
48.9833333,-115.8166667,20150210,"KOOTENAI RIVER IN MONTANA",918,"15A05S","Garver Creek","4250",2.4,0.6,400,,13.0,12.9,101,,
48.9166667,-114.7666667,20150210,"KOOTENAI RIVER IN MONTANA",500,"14A11S","Grave Creek","4300",3.0,1.2,250,,25.9,22.8,114,,
48.3000000,-114.8333333,20150210,"KOOTENAI RIVER IN MONTANA",510,"14A14S","Hand Creek","5035",0.8,0.7,114,,12.8,11.7,109,,
48.9666667,-115.9500000,20150210,"KOOTENAI RIVER IN MONTANA",516,"15A03S","Hawkins Lake","6450",4.2,1.3,323,,24.8,20.9,119,,
48.1333333,-115.6166667,20150210,"KOOTENAI RIVER IN MONTANA",932,"15A12S","Poorman Creek","5100",7.7,2.6,296,,45.9,39.8,115,,
48.9166667,-114.8666667,20150210,"KOOTENAI RIVER IN MONTANA",787,"14A12S","Stahl Peak","6030",3.9,1.3,300,,28.0,26.6,105,,
,,,,"KOOTENAI RIVER IN MONTANA",,,Basin Index (%),"","",300,,"","",107,, 
48.2000000,-114.5166667,20150210,"FLATHEAD RIVER BASIN",1165,"14A19S","Ashley Divide","4820",1.0,-998,,-997,10.8,-998,,-997,
48.1333333,-113.0166667,20150210,"FLATHEAD RIVER BASIN",307,"13A15S","Badger Pass","6900",1.5,1.4,107,,22.4,23.2,97,,
47.6833333,-114.0000000,20150210,"FLATHEAD RIVER BASIN",346,"13B25S","Bisson Creek","4920",1.7,0.8,212,,17.7,11.5,154,,
47.9833333,-114.3500000,20150210,"FLATHEAD RIVER BASIN",1144,"14B04S","Blacktail Mtn","5650",0.9,-998,,-997,10.7,-998,,-997,
48.4333333,-113.9333333,20150210,"FLATHEAD RIVER BASIN",469,"13A24S","Emery Creek","4350",2.1,0.7,300,,21.5,17.1,126,,
48.8000000,-113.8500000,20150210,"FLATHEAD RIVER BASIN",482,"13A19S","Flattop Mtn.","6300",5.4,1.7,318,,38.2,33.8,113,,
48.9166667,-114.7666667,20150210,"FLATHEAD RIVER BASIN",500,"14A11S","Grave Creek","4300",3.0,1.2,250,,25.9,22.8,114,,
48.3000000,-114.8333333,20150210,"FLATHEAD RIVER BASIN",510,"14A14S","Hand Creek","5035",0.8,0.7,114,,12.8,11.7,109,,
47.4333333,-113.7833333,20150210,"FLATHEAD RIVER BASIN",562,"13B22S","Kraft Creek","4750",2.5,1.1,227,,23.2,18.7,124,,
48.8000000,-113.6666667,20150210,"FLATHEAD RIVER BASIN",613,"13A27S","Many Glacier","4900",4.5,1.0,450,,25.3,22.3,113,,
47.6833333,-113.9666667,20150210,"FLATHEAD RIVER BASIN",646,"13B24S","Moss Peak","6780",3.7,1.5,247,,35.5,25.4,140,,
48.1500000,-113.9500000,20150210,"FLATHEAD RIVER BASIN",664,"13A25S","Noisy Basin","6040",2.9,1.6,181,,35.7,30.3,118,,
