# --------------------------- WARNING ------------------------------
# The data you have obtained are provisional and subject to revision.
#
# Contact your state water supply staff for assistance
# http://www.wcc.nrcs.usda.gov/partnerships/links_wsfs.html
#
# United States Department of Agriculture
# Natural Resources Conservation Service
# National Water and Climate Center
# Portland Oregon
#
# P R E C I P I T A T I O N   U P D A T E
#
# This report is based on mountain data from USDA-NRCS SNOTEL Sites
# Data are based on the first reading of the day (typically 00:00)
# Saturday: February 10 2018
# 
# Medians and averages are calculated for the period 1981-2010.
#
# retrieved: Wednesday: February 10 2021 PDT
#
# This file contains the Columbia River Basin SNOTEL Precipitation Update Report
#
# This file contains a list of stations and basin summaries of hydrologic conditions.
# The fields are comma delimited and the first line after this header describes the contents of each column:
#
#    column                             column definition
#    -------------------------          -------------------------------------
#  1 Lat                                decimal latitude
#  2 Long                               decimal longitude w/negative sign
#  3 YYYYMMDD                           date of observation
#  4 Basin_name                         state sub-basin name
#  5 Station_id                         Snotel system identification code
#  6 Acton_id                           Snow Survey Program ACTON code
#  7 Station_name                       station name
#  8 Elevation                          elevation (feet)
#  9 Prcp_md_amt                        current total precipitation from the beginning of the month to the current date (inches)
# 10 Prcp_md_avg                        month to date precipitation Average (inches)
# 11 Prcp_md_pctavg                     current month to date precipitation as percent of Average
# 12 Prcp_md_pctavg_flag                month to date precipitation validity code
# 13 Prec_wd_amt                        water year to date precipitation (inches)
# 14 Prec_wd_avg                        water year to date precipitation Average (inches)
# 15 Prec_wd_pct                        water year to date precipitation as percent of Average
# 16 Prec_wd_pct_flag                   water year to date precipitation validity code
#
# Data-value qualification codes included in this output:
#  -997 Data may not provide a valid measure of conditions
#         If the current swe data value is > 0 and the Median is 0 then the percent of Median flag = -997
#         If either the current data value or the Median is missing then the percent of Median cell will be blank and the percent of Median flag will be -997
#         If the current swe value is < 10% of the Median peak swe then the percent of Median flag = -997
#         If over 1/2 of the stations for a basin report missing or invalid data then the percent of Median flag = -997
#  -998 No Normal available
#  -999 Missing data
#         If the current data value is missing then the current data value = -999
#         If the current precipitation is negative then the current precipitation value = -999
#         If the current swe is < -1 then the current swe value = -999
#         If over 1/2 of the stations for a basin are missing then the percent of Average cell is blank
#
# If the Basin Index (%) for comparison value is flagged as potentially invalid
# care should be taken to evaluate if the value is representative of conditions in the basin.
#
# The TOTAL PRECIPITATION percent of Average represents the total,,,,,,,,,,,,,,,,
# precipitation (beginning October 1st) found at selected SNOTEL sites in,,,,,,,,,,,,,,,,
# or near the basin compared to the Average value for those sites on this day.,,,,,,,,,,,,,,,,
# Site -- Either: (a) the current value is missing; 
#(b) the median or average for the day is not available or is zero; or 
#(c) for snow water equivalent the median for the day is less than 10% of the maximum median value for  the year.
# Basin - More than half of the sites within the basin are flagged with * preventing the 
#calculation of a meaningful basin index.
The basin index is calculated as the sum of the valid current values 
divided by the sum of the corresponding medians (for snow water equivalent)
or averages (for precipitation) and the resulting fraction multiplied by 100.
##########################################################################,,,,,,,,,,,,,
Lat,Long,YYYYMMDD,Basin_name,Station_id,Acton_id,Station_name,Elevation,Prcp_md_amt,Prcp_md_avg,Prcp_md_pctavg,Prcp_md_pctavg_flag,Prec_wd_amt,Prec_wd_avg,Prec_wd_pct,Prec_wd_pct_flag, 
48.5666667,-115.4500000,20180210,"KOOTENAI RIVER IN MONTANA",311,"15A08S","Banfield Mountain","5600",1.3,1.1,118,,20.0,17.8,112,,
48.3000000,-116.0666667,20180210,"KOOTENAI RIVER IN MONTANA",323,"16A08S","Bear Mountain","5400",3.2,2.3,139,,51.0,49.5,103,,
48.9833333,-115.8166667,20180210,"KOOTENAI RIVER IN MONTANA",918,"15A05S","Garver Creek","4250",0.6,0.6,100,,16.8,12.9,130,,
48.9166667,-114.7666667,20180210,"KOOTENAI RIVER IN MONTANA",500,"14A11S","Grave Creek","4300",2.9,1.2,242,,25.8,22.8,113,,
48.3000000,-114.8333333,20180210,"KOOTENAI RIVER IN MONTANA",510,"14A14S","Hand Creek","5035",1.5,0.7,214,,12.3,11.7,105,,
48.9666667,-115.9500000,20180210,"KOOTENAI RIVER IN MONTANA",516,"15A03S","Hawkins Lake","6450",1.7,1.3,131,,29.0,20.9,139,,
48.1333333,-115.6166667,20180210,"KOOTENAI RIVER IN MONTANA",932,"15A12S","Poorman Creek","5100",7.4,2.6,285,,47.8,39.8,120,,
48.9166667,-114.8666667,20180210,"KOOTENAI RIVER IN MONTANA",787,"14A12S","Stahl Peak","6030",2.6,1.3,200,,29.7,26.6,112,,
,,,,"KOOTENAI RIVER IN MONTANA",,,Basin Index (%),"","",191,,"","",115,, 
48.2000000,-114.5166667,20180210,"FLATHEAD RIVER BASIN",1165,"14A19S","Ashley Divide","4820",1.4,-998,,-997,11.7,-998,,-997,
48.1333333,-113.0166667,20180210,"FLATHEAD RIVER BASIN",307,"13A15S","Badger Pass","6900",-999,1.4,,-997,-999,23.2,,-997,
47.6833333,-114.0000000,20180210,"FLATHEAD RIVER BASIN",346,"13B25S","Bisson Creek","4920",1.6,0.8,200,,16.6,11.5,144,,
47.9833333,-114.3500000,20180210,"FLATHEAD RIVER BASIN",1144,"14B04S","Blacktail Mtn","5650",1.6,-998,,-997,11.9,-998,,-997,
48.4333333,-113.9333333,20180210,"FLATHEAD RIVER BASIN",469,"13A24S","Emery Creek","4350",4.7,0.7,671,,25.8,17.1,151,,
48.8000000,-113.8500000,20180210,"FLATHEAD RIVER BASIN",482,"13A19S","Flattop Mtn.","6300",7.3,1.7,429,,45.4,33.8,134,,
48.9166667,-114.7666667,20180210,"FLATHEAD RIVER BASIN",500,"14A11S","Grave Creek","4300",2.9,1.2,242,,25.8,22.8,113,,
48.3000000,-114.8333333,20180210,"FLATHEAD RIVER BASIN",510,"14A14S","Hand Creek","5035",1.5,0.7,214,,12.3,11.7,105,,
47.4333333,-113.7833333,20180210,"FLATHEAD RIVER BASIN",562,"13B22S","Kraft Creek","4750",7.0,1.1,636,,30.8,18.7,165,,
48.8000000,-113.6666667,20180210,"FLATHEAD RIVER BASIN",613,"13A27S","Many Glacier","4900",5.6,1.0,560,,27.4,22.3,123,,
47.6833333,-113.9666667,20180210,"FLATHEAD RIVER BASIN",646,"13B24S","Moss Peak","6780",4.6,1.5,307,,36.4,25.4,143,,
48.1500000,-113.9500000,20180210,"FLATHEAD RIVER BASIN",664,"13A25S","Noisy Basin","6040",6.3,1.6,394,,42.2,30.3,139,,
