# --------------------------- WARNING ------------------------------
# The data you have obtained are provisional and subject to revision.
#
# Contact your state water supply staff for assistance
# http://www.wcc.nrcs.usda.gov/partnerships/links_wsfs.html
#
# United States Department of Agriculture
# Natural Resources Conservation Service
# National Water and Climate Center
# Portland Oregon
#
# P R E C I P I T A T I O N   U P D A T E
#
# This report is based on mountain data from USDA-NRCS SNOTEL Sites
# Data are based on the first reading of the day (typically 00:00)
# Monday: February 10 2020
# 
# Medians and averages are calculated for the period 1981-2010.
#
# retrieved: Wednesday: February 10 2021 PDT
#
# This file contains the Columbia River Basin SNOTEL Precipitation Update Report
#
# This file contains a list of stations and basin summaries of hydrologic conditions.
# The fields are comma delimited and the first line after this header describes the contents of each column:
#
#    column                             column definition
#    -------------------------          -------------------------------------
#  1 Lat                                decimal latitude
#  2 Long                               decimal longitude w/negative sign
#  3 YYYYMMDD                           date of observation
#  4 Basin_name                         state sub-basin name
#  5 Station_id                         Snotel system identification code
#  6 Acton_id                           Snow Survey Program ACTON code
#  7 Station_name                       station name
#  8 Elevation                          elevation (feet)
#  9 Prcp_md_amt                        current total precipitation from the beginning of the month to the current date (inches)
# 10 Prcp_md_avg                        month to date precipitation Average (inches)
# 11 Prcp_md_pctavg                     current month to date precipitation as percent of Average
# 12 Prcp_md_pctavg_flag                month to date precipitation validity code
# 13 Prec_wd_amt                        water year to date precipitation (inches)
# 14 Prec_wd_avg                        water year to date precipitation Average (inches)
# 15 Prec_wd_pct                        water year to date precipitation as percent of Average
# 16 Prec_wd_pct_flag                   water year to date precipitation validity code
#
# Data-value qualification codes included in this output:
#  -997 Data may not provide a valid measure of conditions
#         If the current swe data value is > 0 and the Median is 0 then the percent of Median flag = -997
#         If either the current data value or the Median is missing then the percent of Median cell will be blank and the percent of Median flag will be -997
#         If the current swe value is < 10% of the Median peak swe then the percent of Median flag = -997
#         If over 1/2 of the stations for a basin report missing or invalid data then the percent of Median flag = -997
#  -998 No Normal available
#  -999 Missing data
#         If the current data value is missing then the current data value = -999
#         If the current precipitation is negative then the current precipitation value = -999
#         If the current swe is < -1 then the current swe value = -999
#         If over 1/2 of the stations for a basin are missing then the percent of Average cell is blank
#
# If the Basin Index (%) for comparison value is flagged as potentially invalid
# care should be taken to evaluate if the value is representative of conditions in the basin.
#
# The TOTAL PRECIPITATION percent of Average represents the total,,,,,,,,,,,,,,,,
# precipitation (beginning October 1st) found at selected SNOTEL sites in,,,,,,,,,,,,,,,,
# or near the basin compared to the Average value for those sites on this day.,,,,,,,,,,,,,,,,
# Site -- Either: (a) the current value is missing; 
#(b) the median or average for the day is not available or is zero; or 
#(c) for snow water equivalent the median for the day is less than 10% of the maximum median value for  the year.
# Basin - More than half of the sites within the basin are flagged with * preventing the 
#calculation of a meaningful basin index.
The basin index is calculated as the sum of the valid current values 
divided by the sum of the corresponding medians (for snow water equivalent)
or averages (for precipitation) and the resulting fraction multiplied by 100.
##########################################################################,,,,,,,,,,,,,
Lat,Long,YYYYMMDD,Basin_name,Station_id,Acton_id,Station_name,Elevation,Prcp_md_amt,Prcp_md_avg,Prcp_md_pctavg,Prcp_md_pctavg_flag,Prec_wd_amt,Prec_wd_avg,Prec_wd_pct,Prec_wd_pct_flag, 
48.5666667,-115.4500000,20200210,"KOOTENAI RIVER IN MONTANA",311,"15A08S","Banfield Mountain","5600",0.7,1.1,64,,14.2,17.8,80,,
48.3000000,-116.0666667,20200210,"KOOTENAI RIVER IN MONTANA",323,"16A08S","Bear Mountain","5400",3.1,2.3,135,,48.5,49.5,98,,
48.9833333,-115.8166667,20200210,"KOOTENAI RIVER IN MONTANA",918,"15A05S","Garver Creek","4250",1.6,0.6,267,,14.9,12.9,116,,
48.9166667,-114.7666667,20200210,"KOOTENAI RIVER IN MONTANA",500,"14A11S","Grave Creek","4300",1.2,1.2,100,,21.7,22.8,95,,
48.3000000,-114.8333333,20200210,"KOOTENAI RIVER IN MONTANA",510,"14A14S","Hand Creek","5035",0.7,0.7,100,,7.5,11.7,64,,
48.9666667,-115.9500000,20200210,"KOOTENAI RIVER IN MONTANA",516,"15A03S","Hawkins Lake","6450",2.1,1.3,162,,24.4,20.9,117,,
48.1333333,-115.6166667,20200210,"KOOTENAI RIVER IN MONTANA",932,"15A12S","Poorman Creek","5100",2.1,2.6,81,,36.1,39.8,91,,
48.9166667,-114.8666667,20200210,"KOOTENAI RIVER IN MONTANA",787,"14A12S","Stahl Peak","6030",1.4,1.3,108,,26.8,26.6,101,,
,,,,"KOOTENAI RIVER IN MONTANA",,,Basin Index (%),"","",116,,"","",96,, 
48.2000000,-114.5166667,20200210,"FLATHEAD RIVER BASIN",1165,"14A19S","Ashley Divide","4820",0.2,-998,,-997,5.0,-998,,-997,
48.1333333,-113.0166667,20200210,"FLATHEAD RIVER BASIN",307,"13A15S","Badger Pass","6900",2.0,1.4,143,,21.4,23.2,92,,
47.6833333,-114.0000000,20200210,"FLATHEAD RIVER BASIN",346,"13B25S","Bisson Creek","4920",1.2,0.8,150,,11.2,11.5,97,,
47.9833333,-114.3500000,20200210,"FLATHEAD RIVER BASIN",1144,"14B04S","Blacktail Mtn","5650",1.1,-998,,-997,8.7,-998,,-997,
48.4333333,-113.9333333,20200210,"FLATHEAD RIVER BASIN",469,"13A24S","Emery Creek","4350",1.1,0.7,157,,19.2,17.1,112,,
48.8000000,-113.8500000,20200210,"FLATHEAD RIVER BASIN",482,"13A19S","Flattop Mtn.","6300",1.8,1.7,106,,38.6,33.8,114,,
48.9166667,-114.7666667,20200210,"FLATHEAD RIVER BASIN",500,"14A11S","Grave Creek","4300",1.2,1.2,100,,21.7,22.8,95,,
48.3000000,-114.8333333,20200210,"FLATHEAD RIVER BASIN",510,"14A14S","Hand Creek","5035",0.7,0.7,100,,7.5,11.7,64,,
47.4333333,-113.7833333,20200210,"FLATHEAD RIVER BASIN",562,"13B22S","Kraft Creek","4750",2.2,1.1,200,,20.6,18.7,110,,
48.8000000,-113.6666667,20200210,"FLATHEAD RIVER BASIN",613,"13A27S","Many Glacier","4900",1.1,1.0,110,,19.9,22.3,89,,
47.6833333,-113.9666667,20200210,"FLATHEAD RIVER BASIN",646,"13B24S","Moss Peak","6780",3.2,1.5,213,,27.3,25.4,107,,
48.1500000,-113.9500000,20200210,"FLATHEAD RIVER BASIN",664,"13A25S","Noisy Basin","6040",3.0,1.6,188,,33.1,30.3,109,,
47.2666667,-113.7500000,20200210,"FLATHEAD RIVER BASIN",667,"13B07S","North Fork Jocko","6330",3.3,2.5,132,,40.3,35.5,114,,
48.3000000,-113.3333333,20200210,"FLATHEAD RIVER BASIN",693,"13A26S","Pike Creek","5930",2.0,1.1,182,,21.4,21.2,101,,
47.1833333,-114.3333333,20200210,"FLATHEAD RIVER BASIN",783,"14B05S","Sleeping Woman","6150",2.0,0.9,222,,16.1,14.7,110,,
48.9166667,-114.8666667,20200210,"FLATHEAD RIVER BASIN",787,"14A12S","Stahl Peak","6030",1.4,1.3,108,,26.8,26.6,101,,
47.0000000,-113.9333333,20200210,"FLATHEAD RIVER BASIN",901,"13C01S","Stuart Mountain","7400",3.0,1.6,188,,23.6,22.8,104,,
,,,,"FLATHEAD RIVER BASIN",,,Basin Index (%),"","",153,,"","",103,, 
46.1000000,-113.1333333,20200210,"UPPER CLARK FORK RIVER BASIN",313,"13C44S","Barker Lakes","8250",3.0,0.6,500,,9.9,10.5,94,,
45.8000000,-112.5166667,20200210,"UPPER CLARK FORK RIVER BASIN",315,"12D09S","Basin Creek","7180",1.1,0.2,550,,6.4,6.0,107,,
46.4166667,-113.4333333,20200210,"UPPER CLARK FORK RIVER BASIN",349,"13C13S","Black Pine","7210",1.9,0.5,380,,8.5,9.1,93,,
46.4666667,-113.4000000,20200210,"UPPER CLARK FORK RIVER BASIN",410,"13C33S","Combination","5600",0.6,0.3,200,,4.5,6.5,69,,
47.0500000,-112.6000000,20200210,"UPPER CLARK FORK RIVER BASIN",413,"12B16S","Copper Bottom","5200",0.4,0.8,50,,9.7,11.7,83,,
47.0833333,-112.7333333,20200210,"UPPER CLARK FORK RIVER BASIN",414,"12B14S","Copper Camp","6950",1.0,1.4,71,,19.2,23.0,83,,
46.8833333,-113.3166667,20200210,"UPPER CLARK FORK RIVER BASIN",604,"13C38S","Lubrecht Flume","4680",1.0,0.5,200,,7.1,7.4,96,,
46.8500000,-112.5000000,20200210,"UPPER CLARK FORK RIVER BASIN",903,"12C22S","Nevada Ridge","7020",0.9,0.7,129,,11.3,11.5,98,,
46.8666667,-113.2833333,20200210,"UPPER CLARK FORK RIVER BASIN",657,"13C31S","N Fk Elk Creek","6250",1.4,0.6,233,,9.0,9.6,94,,
47.2666667,-113.7500000,20200210,"UPPER CLARK FORK RIVER BASIN",667,"13B07S","North Fork Jocko","6330",3.3,2.5,132,,40.3,35.5,114,,
46.1333333,-113.3000000,20200210,"UPPER CLARK FORK RIVER BASIN",930,"13C36S","Peterson Meadows","7200",2.3,0.6,383,,8.2,7.5,109,,
46.3500000,-112.2666667,20200210,"UPPER CLARK FORK RIVER BASIN",722,"12C11S","Rocker Peak","8000",1.3,0.5,260,,9.0,9.1,99,,
46.2500000,-113.7666667,20200210,"UPPER CLARK FORK RIVER BASIN",760,"13C03S","Skalkaho Summit","7250",2.5,0.9,278,,14.3,15.8,91,,
47.0000000,-113.9333333,20200210,"UPPER CLARK FORK RIVER BASIN",901,"13C01S","Stuart Mountain","7400",3.0,1.6,188,,23.6,22.8,104,,
46.2666667,-113.1666667,20200210,"UPPER CLARK FORK RIVER BASIN",850,"13C43S","Warm Springs","7800",2.9,0.9,322,,14.4,15.2,95,,
,,,,"UPPER CLARK FORK RIVER BASIN",,,Basin Index (%),"","",211,,"","",97,, 
46.1833333,-113.8500000,20200210,"BITTERROOT",433,"13C39S","Daly Creek","5780",2.1,0.6,350,,10.5,9.7,108,,
46.6333333,-114.5833333,20200210,"BITTERROOT",588,"14C05S","Lolo Pass","5240",2.8,1.6,175,,22.6,24.5,92,,
45.6666667,-113.9500000,20200210,"BITTERROOT",638,"13D16S","Moose Creek","6200",2.4,0.9,267,,14.2,14.5,98,,
45.7333333,-114.4833333,20200210,"BITTERROOT",662,"14D02S","Nez Perce Camp","5650",3.3,0.8,412,,16.0,14.4,111,,
45.7000000,-113.9666667,20200210,"BITTERROOT",727,"13D22S","Saddle Mtn.","7940",2.6,1.1,236,,14.8,16.3,91,,
46.2500000,-113.7666667,20200210,"BITTERROOT",760,"13C03S","Skalkaho Summit","7250",2.5,0.9,278,,14.3,15.8,91,,
46.1500000,-114.4500000,20200210,"BITTERROOT",835,"14C13S","Twelvemile Creek","5600",3.4,1.5,227,,23.0,22.9,100,,
46.1500000,-114.5000000,20200210,"BITTERROOT",836,"14C12S","Twin Lakes","6400",4.3,1.8,239,,29.5,31.9,92,,
,,,,"BITTERROOT",,,Basin Index (%),"","",254,,"","",97,, 
46.9833333,-115.0333333,20200210,"LOWER CLARK FORK RIVER BASIN",530,"15C10S","Hoodoo Basin","6050",3.2,2.0,160,,29.2,33.4,87,,
47.5333333,-115.7833333,20200210,"LOWER CLARK FORK RIVER BASIN",535,"15B21S","Humboldt Gulch","4250",2.3,1.5,153,,24.9,26.6,94,,
46.6333333,-114.5833333,20200210,"LOWER CLARK FORK RIVER BASIN",588,"14C05S","Lolo Pass","5240",2.8,1.6,175,,22.6,24.5,92,,
47.4500000,-115.7000000,20200210,"LOWER CLARK FORK RIVER BASIN",594,"15B02S","Lookout","5190",2.4,1.7,141,,25.9,28.9,90,,
48.1333333,-115.6166667,20200210,"LOWER CLARK FORK RIVER BASIN",932,"15A12S","Poorman Creek","5100",2.1,2.6,81,,36.1,39.8,91,,
47.1833333,-114.3333333,20200210,"LOWER CLARK FORK RIVER BASIN",783,"14B05S","Sleeping Woman","6150",2.0,0.9,222,,16.1,14.7,110,,
47.0000000,-113.9333333,20200210,"LOWER CLARK FORK RIVER BASIN",901,"13C01S","Stuart Mountain","7400",3.0,1.6,188,,23.6,22.8,104,,
47.5500000,-115.8166667,20200210,"LOWER CLARK FORK RIVER BASIN",803,"15B09S","Sunset","5540",1.8,1.6,112,,19.0,26.3,72,,
,,,,"LOWER CLARK FORK RIVER BASIN",,,Basin Index (%),"","",145,,"","",91,, 
48.3000000,-116.0666667,20200210,"IDAHO PANHANDLE REGION",323,"16A08S","Bear Mountain","5400",3.1,2.3,135,,48.5,49.5,98,,
48.6833333,-117.1833333,20200210,"IDAHO PANHANDLE REGION",376,"17A01S","Bunchgrass Mdw","5000",1.2,1.2,100,,28.1,25.2,112,,
47.5333333,-115.7833333,20200210,"IDAHO PANHANDLE REGION",535,"15B21S","Humboldt Gulch","4250",2.3,1.5,153,,24.9,26.6,94,,
47.4500000,-115.7000000,20200210,"IDAHO PANHANDLE REGION",594,"15B02S","Lookout","5190",2.4,1.7,141,,25.9,28.9,90,,
47.0833333,-115.9666667,20200210,"IDAHO PANHANDLE REGION",600,"15B14S","Lost Lake","6110",4.5,2.6,173,,40.7,41.9,97,,
47.1500000,-116.2666667,20200210,"IDAHO PANHANDLE REGION",623,"16B14S","Mica Creek","4510",3.4,1.8,189,,29.7,30.6,97,,
48.0500000,-116.2333333,20200210,"IDAHO PANHANDLE REGION",645,"16A04S","Mosquito Ridge","5260",2.4,1.6,150,,34.3,32.3,106,,
47.8833333,-117.0833333,20200210,"IDAHO PANHANDLE REGION",707,"17B04S","Quartz Peak","4700",1.1,1.3,85,,30.4,24.3,125,,
48.3666667,-116.6333333,20200210,"IDAHO PANHANDLE REGION",738,"16A10S","Schweitzer Basin","6090",0.3,1.8,17,,27.4,29.3,94,,
46.9500000,-116.3333333,20200210,"IDAHO PANHANDLE REGION",752,"16C01S","Sherwin","3200",2.4,1.3,185,,19.2,21.0,91,,
47.5500000,-115.8166667,20200210,"IDAHO PANHANDLE REGION",803,"15B09S","Sunset","5540",1.8,1.6,112,,19.0,26.3,72,,
,,,,"IDAHO PANHANDLE REGION",,,Basin Index (%),"","",133,,"","",98,, 
48.6833333,-117.1833333,20200210,"COLUMBIA ABOVE METHOW",376,"17A01S","Bunchgrass Mdw","5000",1.2,1.2,100,,28.1,25.2,112,,
48.7166667,-120.6666667,20200210,"COLUMBIA ABOVE METHOW",515,"20A05S","Harts Pass","6490",4.7,-998,,-997,28.9,-998,,-997,
48.3666667,-119.0833333,20200210,"COLUMBIA ABOVE METHOW",644,"19A13S","Moses Mtn","5010",0.9,1.0,90,,8.3,13.1,63,,
48.6500000,-119.8333333,20200210,"COLUMBIA ABOVE METHOW",728,"19A02S","Salmon Meadows","4460",1.1,0.6,183,,7.2,10.1,71,,
,,,,"COLUMBIA ABOVE METHOW",,,Basin Index (%),"","",114,,"","",90,, 
47.3500000,-120.6833333,20200210,"CHELAN, ENTIAT, WENATCHEE",352,"20B02S","Blewett Pass","4240",1.7,1.2,142,,21.5,22.1,97,,
