# --------------------------- WARNING ------------------------------
# The data you have obtained are provisional and subject to revision.
#
# Contact your state water supply staff for assistance
# http://www.wcc.nrcs.usda.gov/partnerships/links_wsfs.html
#
# United States Department of Agriculture
# Natural Resources Conservation Service
# National Water and Climate Center
# Portland Oregon
#
# P R E C I P I T A T I O N   U P D A T E
#
# This report is based on mountain data from USDA-NRCS SNOTEL Sites
# Data are based on the first reading of the day (typically 00:00)
# Wednesday: February 10 2021
# 
# Medians and averages are calculated for the period 1981-2010.
#
# retrieved: Wednesday: February 10 2021 PDT
#
# This file contains the Columbia River Basin SNOTEL Precipitation Update Report
#
# This file contains a list of stations and basin summaries of hydrologic conditions.
# The fields are comma delimited and the first line after this header describes the contents of each column:
#
#    column                             column definition
#    -------------------------          -------------------------------------
#  1 Lat                                decimal latitude
#  2 Long                               decimal longitude w/negative sign
#  3 YYYYMMDD                           date of observation
#  4 Basin_name                         state sub-basin name
#  5 Station_id                         Snotel system identification code
#  6 Acton_id                           Snow Survey Program ACTON code
#  7 Station_name                       station name
#  8 Elevation                          elevation (feet)
#  9 Prcp_md_amt                        current total precipitation from the beginning of the month to the current date (inches)
# 10 Prcp_md_avg                        month to date precipitation Average (inches)
# 11 Prcp_md_pctavg                     current month to date precipitation as percent of Average
# 12 Prcp_md_pctavg_flag                month to date precipitation validity code
# 13 Prec_wd_amt                        water year to date precipitation (inches)
# 14 Prec_wd_avg                        water year to date precipitation Average (inches)
# 15 Prec_wd_pct                        water year to date precipitation as percent of Average
# 16 Prec_wd_pct_flag                   water year to date precipitation validity code
#
# Data-value qualification codes included in this output:
#  -997 Data may not provide a valid measure of conditions
#         If the current swe data value is > 0 and the Median is 0 then the percent of Median flag = -997
#         If either the current data value or the Median is missing then the percent of Median cell will be blank and the percent of Median flag will be -997
#         If the current swe value is < 10% of the Median peak swe then the percent of Median flag = -997
#         If over 1/2 of the stations for a basin report missing or invalid data then the percent of Median flag = -997
#  -998 No Normal available
#  -999 Missing data
#         If the current data value is missing then the current data value = -999
#         If the current precipitation is negative then the current precipitation value = -999
#         If the current swe is < -1 then the current swe value = -999
#         If over 1/2 of the stations for a basin are missing then the percent of Average cell is blank
#
# If the Basin Index (%) for comparison value is flagged as potentially invalid
# care should be taken to evaluate if the value is representative of conditions in the basin.
#
# The TOTAL PRECIPITATION percent of Average represents the total,,,,,,,,,,,,,,,,
# precipitation (beginning October 1st) found at selected SNOTEL sites in,,,,,,,,,,,,,,,,
# or near the basin compared to the Average value for those sites on this day.,,,,,,,,,,,,,,,,
# Site -- Either: (a) the current value is missing; 
#(b) the median or average for the day is not available or is zero; or 
#(c) for snow water equivalent the median for the day is less than 10% of the maximum median value for  the year.
# Basin - More than half of the sites within the basin are flagged with * preventing the 
#calculation of a meaningful basin index.
The basin index is calculated as the sum of the valid current values 
divided by the sum of the corresponding medians (for snow water equivalent)
or averages (for precipitation) and the resulting fraction multiplied by 100.
##########################################################################,,,,,,,,,,,,,
Lat,Long,YYYYMMDD,Basin_name,Station_id,Acton_id,Station_name,Elevation,Prcp_md_amt,Prcp_md_avg,Prcp_md_pctavg,Prcp_md_pctavg_flag,Prec_wd_amt,Prec_wd_avg,Prec_wd_pct,Prec_wd_pct_flag, 
48.5666667,-115.4500000,20210210,"KOOTENAI RIVER IN MONTANA",311,"15A08S","Banfield Mountain","5600",1.3,1.1,118,,18.8,17.8,106,,
48.3000000,-116.0666667,20210210,"KOOTENAI RIVER IN MONTANA",323,"16A08S","Bear Mountain","5400",2.9,2.3,126,,40.5,49.5,82,,
48.9833333,-115.8166667,20210210,"KOOTENAI RIVER IN MONTANA",918,"15A05S","Garver Creek","4250",0.6,0.6,100,,15.0,12.9,116,,
48.9166667,-114.7666667,20210210,"KOOTENAI RIVER IN MONTANA",500,"14A11S","Grave Creek","4300",1.5,1.2,125,,23.0,22.8,101,,
48.3000000,-114.8333333,20210210,"KOOTENAI RIVER IN MONTANA",510,"14A14S","Hand Creek","5035",0.9,0.7,129,,12.4,11.7,106,,
48.9666667,-115.9500000,20210210,"KOOTENAI RIVER IN MONTANA",516,"15A03S","Hawkins Lake","6450",1.3,1.3,100,,24.6,20.9,118,,
48.1333333,-115.6166667,20210210,"KOOTENAI RIVER IN MONTANA",932,"15A12S","Poorman Creek","5100",2.6,2.6,100,,37.4,39.8,94,,
48.9166667,-114.8666667,20210210,"KOOTENAI RIVER IN MONTANA",787,"14A12S","Stahl Peak","6030",1.5,1.3,115,,31.8,26.6,120,,
,,,,"KOOTENAI RIVER IN MONTANA",,,Basin Index (%),"","",114,,"","",101,, 
48.2000000,-114.5166667,20210210,"FLATHEAD RIVER BASIN",1165,"14A19S","Ashley Divide","4820",0.5,-998,,-997,9.5,-998,,-997,
48.1333333,-113.0166667,20210210,"FLATHEAD RIVER BASIN",307,"13A15S","Badger Pass","6900",2.0,1.4,143,,25.1,23.2,108,,
47.6833333,-114.0000000,20210210,"FLATHEAD RIVER BASIN",346,"13B25S","Bisson Creek","4920",1.5,0.8,188,,12.1,11.5,105,,
47.9833333,-114.3500000,20210210,"FLATHEAD RIVER BASIN",1144,"14B04S","Blacktail Mtn","5650",1.0,-998,,-997,10.4,-998,,-997,
48.4333333,-113.9333333,20210210,"FLATHEAD RIVER BASIN",469,"13A24S","Emery Creek","4350",1.4,0.7,200,,20.4,17.1,119,,
48.8000000,-113.8500000,20210210,"FLATHEAD RIVER BASIN",482,"13A19S","Flattop Mtn.","6300",2.5,1.7,147,,39.6,33.8,117,,
48.9166667,-114.7666667,20210210,"FLATHEAD RIVER BASIN",500,"14A11S","Grave Creek","4300",1.5,1.2,125,,23.0,22.8,101,,
48.3000000,-114.8333333,20210210,"FLATHEAD RIVER BASIN",510,"14A14S","Hand Creek","5035",0.9,0.7,129,,12.4,11.7,106,,
47.4333333,-113.7833333,20210210,"FLATHEAD RIVER BASIN",562,"13B22S","Kraft Creek","4750",2.6,1.1,236,,20.8,18.7,111,,
48.8000000,-113.6666667,20210210,"FLATHEAD RIVER BASIN",613,"13A27S","Many Glacier","4900",2.9,1.0,290,,22.5,22.3,101,,
47.6833333,-113.9666667,20210210,"FLATHEAD RIVER BASIN",646,"13B24S","Moss Peak","6780",4.0,1.5,267,,27.0,25.4,106,,
48.1500000,-113.9500000,20210210,"FLATHEAD RIVER BASIN",664,"13A25S","Noisy Basin","6040",4.1,1.6,256,,28.4,30.3,94,,
47.2666667,-113.7500000,20210210,"FLATHEAD RIVER BASIN",667,"13B07S","North Fork Jocko","6330",4.4,2.5,176,,33.7,35.5,95,,
48.3000000,-113.3333333,20210210,"FLATHEAD RIVER BASIN",693,"13A26S","Pike Creek","5930",2.2,1.1,200,,24.4,21.2,115,,
47.1833333,-114.3333333,20210210,"FLATHEAD RIVER BASIN",783,"14B05S","Sleeping Woman","6150",2.2,0.9,244,,17.2,14.7,117,,
48.9166667,-114.8666667,20210210,"FLATHEAD RIVER BASIN",787,"14A12S","Stahl Peak","6030",1.5,1.3,115,,31.8,26.6,120,,
47.0000000,-113.9333333,20210210,"FLATHEAD RIVER BASIN",901,"13C01S","Stuart Mountain","7400",2.8,1.6,175,,20.6,22.8,90,,
,,,,"FLATHEAD RIVER BASIN",,,Basin Index (%),"","",191,,"","",106,, 
46.1000000,-113.1333333,20210210,"UPPER CLARK FORK RIVER BASIN",313,"13C44S","Barker Lakes","8250",2.4,0.6,400,,10.5,10.5,100,,
45.8000000,-112.5166667,20210210,"UPPER CLARK FORK RIVER BASIN",315,"12D09S","Basin Creek","7180",0.8,0.2,400,,3.2,6.0,53,,
46.4166667,-113.4333333,20210210,"UPPER CLARK FORK RIVER BASIN",349,"13C13S","Black Pine","7210",2.8,0.5,560,,8.8,9.1,97,,
46.4666667,-113.4000000,20210210,"UPPER CLARK FORK RIVER BASIN",410,"13C33S","Combination","5600",1.7,0.3,567,,7.1,6.5,109,,
47.0500000,-112.6000000,20210210,"UPPER CLARK FORK RIVER BASIN",413,"12B16S","Copper Bottom","5200",1.0,0.8,125,,13.4,11.7,115,,
47.0833333,-112.7333333,20210210,"UPPER CLARK FORK RIVER BASIN",414,"12B14S","Copper Camp","6950",1.6,1.4,114,,20.0,23.0,87,,
46.8833333,-113.3166667,20210210,"UPPER CLARK FORK RIVER BASIN",604,"13C38S","Lubrecht Flume","4680",2.3,0.5,460,,10.1,7.4,136,,
46.8500000,-112.5000000,20210210,"UPPER CLARK FORK RIVER BASIN",903,"12C22S","Nevada Ridge","7020",1.7,0.7,243,,11.3,11.5,98,,
46.8666667,-113.2833333,20210210,"UPPER CLARK FORK RIVER BASIN",657,"13C31S","N Fk Elk Creek","6250",3.0,0.6,500,,12.6,9.6,131,,
47.2666667,-113.7500000,20210210,"UPPER CLARK FORK RIVER BASIN",667,"13B07S","North Fork Jocko","6330",4.4,2.5,176,,33.7,35.5,95,,
46.1333333,-113.3000000,20210210,"UPPER CLARK FORK RIVER BASIN",930,"13C36S","Peterson Meadows","7200",2.1,0.6,350,,7.7,7.5,103,,
46.3500000,-112.2666667,20210210,"UPPER CLARK FORK RIVER BASIN",722,"12C11S","Rocker Peak","8000",2.5,0.5,500,,10.0,9.1,110,,
46.2500000,-113.7666667,20210210,"UPPER CLARK FORK RIVER BASIN",760,"13C03S","Skalkaho Summit","7250",2.6,0.9,289,,18.6,15.8,118,,
47.0000000,-113.9333333,20210210,"UPPER CLARK FORK RIVER BASIN",901,"13C01S","Stuart Mountain","7400",2.8,1.6,175,,20.6,22.8,90,,
46.2666667,-113.1666667,20210210,"UPPER CLARK FORK RIVER BASIN",850,"13C43S","Warm Springs","7800",4.0,0.9,444,,15.7,15.2,103,,
,,,,"UPPER CLARK FORK RIVER BASIN",,,Basin Index (%),"","",283,,"","",101,, 
46.1833333,-113.8500000,20210210,"BITTERROOT",433,"13C39S","Daly Creek","5780",1.5,0.6,250,,12.1,9.7,125,,
46.6333333,-114.5833333,20210210,"BITTERROOT",588,"14C05S","Lolo Pass","5240",3.4,1.6,212,,25.2,24.5,103,,
45.6666667,-113.9500000,20210210,"BITTERROOT",638,"13D16S","Moose Creek","6200",-999,0.9,,-997,-999,14.5,,-997,
45.7333333,-114.4833333,20210210,"BITTERROOT",662,"14D02S","Nez Perce Camp","5650",3.1,0.8,388,,15.4,14.4,107,,
45.7000000,-113.9666667,20210210,"BITTERROOT",727,"13D22S","Saddle Mtn.","7940",2.6,1.1,236,,15.6,16.3,96,,
46.2500000,-113.7666667,20210210,"BITTERROOT",760,"13C03S","Skalkaho Summit","7250",2.6,0.9,289,,18.6,15.8,118,,
46.1500000,-114.4500000,20210210,"BITTERROOT",835,"14C13S","Twelvemile Creek","5600",3.3,1.5,220,,27.7,22.9,121,,
46.1500000,-114.5000000,20210210,"BITTERROOT",836,"14C12S","Twin Lakes","6400",4.4,1.8,244,,34.4,31.9,108,,
,,,,"BITTERROOT",,,Basin Index (%),"","",252,,"","",110,, 
46.9833333,-115.0333333,20210210,"LOWER CLARK FORK RIVER BASIN",530,"15C10S","Hoodoo Basin","6050",2.5,2.0,125,,29.5,33.4,88,,
47.5333333,-115.7833333,20210210,"LOWER CLARK FORK RIVER BASIN",535,"15B21S","Humboldt Gulch","4250",3.9,1.5,260,,27.1,26.6,102,,
46.6333333,-114.5833333,20210210,"LOWER CLARK FORK RIVER BASIN",588,"14C05S","Lolo Pass","5240",3.4,1.6,212,,25.2,24.5,103,,
47.4500000,-115.7000000,20210210,"LOWER CLARK FORK RIVER BASIN",594,"15B02S","Lookout","5190",2.6,1.7,153,,27.9,28.9,97,,
48.1333333,-115.6166667,20210210,"LOWER CLARK FORK RIVER BASIN",932,"15A12S","Poorman Creek","5100",2.6,2.6,100,,37.4,39.8,94,,
