YYYYMMDD,lat,long,basin_name,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg
1990-02-10,48.5666667,-115.45,KOOTENAI RIVER IN MONTANA,311,15A08S,Banfield Mountain,5600,17.2,12.2,141.0,23.8,17.8,134.0
1990-02-10,45.0,-117.1666667,"GRAND RONDE, POWDER, BURNT, IMNAHA",736,17D08S,Schneider Meadows,5400,21.6,22.0,98.0,21.3,26.7,80.0
1990-02-10,45.0833333,-117.55,"GRAND RONDE, POWDER, BURNT, IMNAHA",812,17D07S,Taylor Green,5740,9.8,15.2,64.0,15.0,19.2,78.0
1990-02-10,45.0666667,-118.15,"GRAND RONDE, POWDER, BURNT, IMNAHA",873,18D21S,Wolf Creek,5630,8.4,12.6,67.0,10.2,14.5,70.0
1990-02-10,44.3,-115.23333329999998,CLEARWATER AND SALMON,312,15E11S,Banner Summit,7040,15.1,16.8,90.0,18.4,21.0,88.0
1990-02-10,44.46666670000001,-112.98333329999998,CLEARWATER AND SALMON,318,12E08S,Beagle Springs,8850,5.8,5.5,105.0,9.3,6.8,137.0
1990-02-10,44.95,-116.15,CLEARWATER AND SALMON,319,16E11S,Bear Basin,5350,8.5,11.5,74.0,12.9,17.2,75.0
1990-02-10,44.6333333,-115.8,CLEARWATER AND SALMON,338,15E02S,Big Creek Summit,6560,17.5,22.5,78.0,19.4,24.9,78.0
1990-02-10,45.05,-116.1333333,CLEARWATER AND SALMON,370,16D09S,Brundage Reservoir,6250,16.4,18.8,87.0,20.9,25.8,81.0
1990-02-10,46.7666667,-115.3,CLEARWATER AND SALMON,411,15C16S,Cool Creek,6280,40.5,31.6,128.0,50.8,39.8,128.0
1990-02-10,46.5666667,-115.28333329999998,CLEARWATER AND SALMON,425,15C09S,Crater Meadows,5960,32.0,31.0,103.0,36.6,35.2,104.0
1990-02-10,45.1666667,-113.5833333,CLEARWATER AND SALMON,436,13D19S,Darkhorse Lake,8945,16.4,18.6,88.0,18.2,19.1,95.0
