lat,long,yyyymmdd,basin_name,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg
48.5666667,-115.45,2009-02-10,KOOTENAI RIVER IN MONTANA,311,15A08S,Banfield Mountain,5600,11.4,12.2,93.0,13.6,17.8,76.0
48.3,-116.0666667,2009-02-10,KOOTENAI RIVER IN MONTANA,323,16A08S,Bear Mountain,5400,27.6,38.6,72.0,34.5,49.5,70.0
48.9833333,-115.8166667,2009-02-10,KOOTENAI RIVER IN MONTANA,918,15A05S,Garver Creek,4250,6.3,6.9,91.0,9.6,12.9,74.0
48.9166667,-114.7666667,2009-02-10,KOOTENAI RIVER IN MONTANA,500,14A11S,Grave Creek,4300,9.3,11.4,82.0,18.8,22.8,82.0
48.3,-114.8333333,2009-02-10,KOOTENAI RIVER IN MONTANA,510,14A14S,Hand Creek,5035,10.7,7.8,137.0,13.6,11.7,116.0
48.9666667,-115.95,2009-02-10,KOOTENAI RIVER IN MONTANA,516,15A03S,Hawkins Lake,6450,13.7,16.8,82.0,16.4,20.9,78.0
48.1333333,-115.6166667,2009-02-10,KOOTENAI RIVER IN MONTANA,932,15A12S,Poorman Creek,5100,22.2,23.7,94.0,32.3,39.8,81.0
48.9166667,-114.8666667,2009-02-10,KOOTENAI RIVER IN MONTANA,787,14A12S,Stahl Peak,6030,19.2,23.2,83.0,21.5,26.6,81.0
48.1333333,-113.0166667,2009-02-10,FLATHEAD RIVER BASIN,307,13A15S,Badger Pass,6900,17.0,20.3,84.0,19.5,23.2,84.0
47.6833333,-114.0,2009-02-10,FLATHEAD RIVER BASIN,346,13B25S,Bisson Creek,4920,6.3,6.8,93.0,9.9,11.5,86.0
48.4333333,-113.9333333,2009-02-10,FLATHEAD RIVER BASIN,469,13A24S,Emery Creek,4350,11.5,10.4,111.0,17.2,17.1,101.0
48.8,-113.85,2009-02-10,FLATHEAD RIVER BASIN,482,13A19S,Flattop Mtn.,6300,22.3,29.7,75.0,27.4,33.8,81.0
48.9166667,-114.7666667,2009-02-10,FLATHEAD RIVER BASIN,500,14A11S,Grave Creek,4300,9.3,11.4,82.0,18.8,22.8,82.0
48.3,-114.8333333,2009-02-10,FLATHEAD RIVER BASIN,510,14A14S,Hand Creek,5035,10.7,7.8,137.0,13.6,11.7,116.0
47.4333333,-113.7833333,2009-02-10,FLATHEAD RIVER BASIN,562,13B22S,Kraft Creek,4750,10.5,14.0,93.0,21.3,18.7,114.0
48.8,-113.6666667,2009-02-10,FLATHEAD RIVER BASIN,613,13A27S,Many Glacier,4900,7.0,10.1,69.0,13.9,22.3,62.0
47.6833333,-113.9666667,2009-02-10,FLATHEAD RIVER BASIN,646,13B24S,Moss Peak,6780,22.6,23.6,96.0,24.2,25.4,95.0
48.15,-113.95,2009-02-10,FLATHEAD RIVER BASIN,664,13A25S,Noisy Basin,6040,26.9,26.8,100.0,29.6,30.3,98.0
47.2666667,-113.75,2009-02-10,FLATHEAD RIVER BASIN,667,13B07S,North Fork Jocko,6330,29.6,28.8,103.0,38.1,35.5,107.0
48.3,-113.3333333,2009-02-10,FLATHEAD RIVER BASIN,693,13A26S,Pike Creek,5930,11.9,14.0,93.0,17.6,21.2,83.0
47.1833333,-114.3333333,2009-02-10,FLATHEAD RIVER BASIN,783,14B05S,Sleeping Woman,6150,12.0,10.1,119.0,15.1,14.7,103.0
48.9166667,-114.8666667,2009-02-10,FLATHEAD RIVER BASIN,787,14A12S,Stahl Peak,6030,19.2,23.2,83.0,21.5,26.6,81.0
47.0,-113.9333333,2009-02-10,FLATHEAD RIVER BASIN,901,13C01S,Stuart Mountain,7400,23.7,21.9,108.0,24.3,22.8,107.0
46.1,-113.1333333,2009-02-10,UPPER CLARK FORK RIVER BASIN,313,13C44S,Barker Lakes,8250,11.0,8.6,128.0,13.6,10.5,130.0
45.8,-112.5166667,2009-02-10,UPPER CLARK FORK RIVER BASIN,315,12D09S,Basin Creek,7180,4.9,4.8,102.0,8.1,6.0,135.0
46.4166667,-113.4333333,2009-02-10,UPPER CLARK FORK RIVER BASIN,349,13C13S,Black Pine,7210,9.3,6.7,139.0,13.0,9.1,143.0
46.4666667,-113.4,2009-02-10,UPPER CLARK FORK RIVER BASIN,410,13C33S,Combination,5600,3.7,3.4,109.0,9.3,6.5,143.0
47.05,-112.6,2009-02-10,UPPER CLARK FORK RIVER BASIN,413,12B16S,Copper Bottom,5200,5.3,14.0,93.0,12.0,11.7,103.0
47.0833333,-112.7333333,2009-02-10,UPPER CLARK FORK RIVER BASIN,414,12B14S,Copper Camp,6950,31.6,14.0,93.0,20.6,23.0,90.0
46.8833333,-113.3166667,2009-02-10,UPPER CLARK FORK RIVER BASIN,604,13C38S,Lubrecht Flume,4680,4.7,4.1,115.0,9.4,7.4,127.0
46.85,-112.5,2009-02-10,UPPER CLARK FORK RIVER BASIN,903,12C22S,Nevada Ridge,7020,10.8,9.4,115.0,13.3,11.5,116.0
46.8666667,-113.2833333,2009-02-10,UPPER CLARK FORK RIVER BASIN,657,13C31S,N Fk Elk Creek,6250,8.3,7.3,114.0,12.6,9.6,131.0
47.2666667,-113.75,2009-02-10,UPPER CLARK FORK RIVER BASIN,667,13B07S,North Fork Jocko,6330,29.6,28.8,103.0,38.1,35.5,107.0
46.1333333,-113.3,2009-02-10,UPPER CLARK FORK RIVER BASIN,930,13C36S,Peterson Meadows,7200,7.0,5.8,121.0,10.0,7.5,133.0
46.35,-112.2666667,2009-02-10,UPPER CLARK FORK RIVER BASIN,722,12C11S,Rocker Peak,8000,11.6,8.7,133.0,13.4,9.1,147.0
46.25,-113.7666667,2009-02-10,UPPER CLARK FORK RIVER BASIN,760,13C03S,Skalkaho Summit,7250,14.9,14.7,101.0,17.9,15.8,113.0
