,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,43.75,-113.9333333,320,13F03S,Bear Canyon,7900,8.2,9.2,89.0,12.5,11.2,112.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2011-02-10,44.0166667,-113.46666670000002,524,13E27S,Hilts Creek,8000,9.1,8.4,108.0,9.2,9.0,102.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2011-02-10,43.8166667,-114.26666670000002,601,14F03S,Lost-Wood Divide,7900,11.7,13.4,87.0,12.1,14.7,82.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2011-02-10,44.4333333,-113.3166667,620,13E18S,Meadow Lake,9150,11.2,10.0,112.0,12.2,11.6,105.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2011-02-10,44.4166667,-113.4,636,13E06S,Moonshine,7440,7.8,6.4,122.0,9.9,8.8,112.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2011-02-10,43.8666667,-114.21666670000002,792,14F02S,Stickney Mill,7430,5.4,5.4,100.0,7.3,7.2,101.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2012-02-10,43.75,-113.9333333,320,13F03S,Bear Canyon,7900,7.0,9.2,76.0,12.3,11.2,110.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2012-02-10,44.0166667,-113.46666670000002,524,13E27S,Hilts Creek,8000,3.9,8.4,46.0,9.3,9.0,103.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2012-02-10,43.8166667,-114.26666670000002,601,14F03S,Lost-Wood Divide,7900,10.5,13.4,78.0,12.5,14.7,85.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012-02-10,44.4333333,-113.3166667,620,13E18S,Meadow Lake,9150,7.9,10.0,79.0,11.8,11.6,102.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2012-02-10,44.4166667,-113.4,636,13E06S,Moonshine,7440,4.9,6.4,77.0,8.2,8.8,93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2012-02-10,43.8666667,-114.21666670000002,792,14F02S,Stickney Mill,7430,3.5,5.4,65.0,6.9,7.2,96.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2013-02-10,43.75,-113.9333333,320,13F03S,Bear Canyon,7900,10.9,9.2,118.0,14.8,11.2,132.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2013-02-10,44.0166667,-113.46666670000002,524,13E27S,Hilts Creek,8000,10.4,8.4,124.0,10.4,9.0,116.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2013-02-10,43.8166667,-114.26666670000002,601,14F03S,Lost-Wood Divide,7900,15.0,13.4,112.0,14.6,14.7,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2013-02-10,44.4333333,-113.3166667,620,13E18S,Meadow Lake,9150,11.2,10.0,112.0,12.0,11.6,103.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2013-02-10,44.4166667,-113.4,636,13E06S,Moonshine,7440,6.1,6.4,95.0,8.5,8.8,97.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2013-02-10,43.8666667,-114.21666670000002,792,14F02S,Stickney Mill,7430,7.9,5.4,146.0,9.1,7.2,126.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2014-02-10,43.75,-113.9333333,320,13F03S,Bear Canyon,7900,5.7,9.2,62.0,6.6,11.2,59.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2014-02-10,44.0166667,-113.46666670000002,524,13E27S,Hilts Creek,8000,4.9,8.4,58.0,4.9,9.0,54.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2014-02-10,43.8166667,-114.26666670000002,601,14F03S,Lost-Wood Divide,7900,8.8,13.4,66.0,8.0,14.7,54.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2014-02-10,44.4333333,-113.3166667,620,13E18S,Meadow Lake,9150,11.5,10.0,115.0,11.4,11.6,98.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2014-02-10,44.4166667,-113.4,636,13E06S,Moonshine,7440,6.4,6.4,100.0,7.0,8.8,80.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2014-02-10,43.8666667,-114.21666670000002,792,14F02S,Stickney Mill,7430,3.7,5.4,69.0,4.1,7.2,57.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2015-02-10,43.75,-113.9333333,320,13F03S,Bear Canyon,7900,9.4,9.2,102.0,11.5,11.2,103.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2015-02-10,44.0166667,-113.46666670000002,524,13E27S,Hilts Creek,8000,8.5,8.4,101.0,7.9,9.0,88.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2015-02-10,43.8166667,-114.26666670000002,601,14F03S,Lost-Wood Divide,7900,13.4,13.4,100.0,12.6,14.7,86.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2015-02-10,44.4333333,-113.3166667,620,13E18S,Meadow Lake,9150,10.5,10.0,105.0,11.2,11.6,97.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2015-02-10,44.4166667,-113.4,636,13E06S,Moonshine,7440,8.8,6.4,138.0,10.4,8.8,118.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2015-02-10,43.8666667,-114.21666670000002,792,14F02S,Stickney Mill,7430,6.6,5.4,122.0,8.0,7.2,111.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2016-02-10,43.75,-113.9333333,320,13F03S,Bear Canyon,7900,8.1,9.2,88.0,11.3,11.2,101.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
