,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,43.2666667,-115.35,382,15F09S,Camas Creek Divide,5710,9.2,9.7,95.0,16.4,12.9,127.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2011-02-10,43.7666667,-114.4166667,895,14F19S,Chocolate Gulch,6310,7.5,9.0,83.0,9.7,11.7,83.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2011-02-10,43.6,-114.6666667,450,14F08S,Dollarhide Summit,8420,14.3,14.0,101.0,17.6,18.1,97.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2011-02-10,43.8833333,-114.6666667,489,14F17S,Galena,7470,10.3,11.7,88.0,11.7,13.3,88.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2011-02-10,43.8666667,-114.71666670000002,490,14F12S,Galena Summit,8780,12.4,12.6,98.0,13.5,14.0,96.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2011-02-10,43.6166667,-113.9333333,492,13F04S,Garfield R.S.,6560,6.0,7.1,85.0,9.0,9.0,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2011-02-10,43.716666700000005,-114.1666667,537,14F16S,Hyndman,7620,7.1,8.3,86.0,10.9,11.1,98.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2011-02-10,43.8166667,-114.26666670000002,601,14F03S,Lost-Wood Divide,7900,11.7,13.4,87.0,12.1,14.7,82.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2011-02-10,43.6333333,-113.96666670000002,805,13F09S,Swede Peak,7640,8.8,10.1,87.0,11.2,11.7,96.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2011-02-10,43.8,-114.85,845,14F04S,Vienna Mine,8960,19.2,20.7,93.0,21.0,21.2,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2012-02-10,43.2666667,-115.35,382,15F09S,Camas Creek Divide,5710,8.8,9.7,91.0,13.4,12.9,104.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2012-02-10,43.7666667,-114.4166667,895,14F19S,Chocolate Gulch,6310,6.7,9.0,74.0,10.1,11.7,86.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2012-02-10,43.6,-114.6666667,450,14F08S,Dollarhide Summit,8420,14.4,14.0,91.0,17.4,18.1,96.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2012-02-10,43.8833333,-114.6666667,489,14F17S,Galena,7470,10.6,11.7,91.0,14.4,13.3,108.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2012-02-10,43.8666667,-114.71666670000002,490,14F12S,Galena Summit,8780,11.5,12.6,91.0,12.7,14.0,91.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2012-02-10,43.6166667,-113.9333333,492,13F04S,Garfield R.S.,6560,5.1,7.1,72.0,7.9,9.0,88.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2012-02-10,43.716666700000005,-114.1666667,537,14F16S,Hyndman,7620,6.3,8.3,76.0,12.0,11.1,108.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2012-02-10,43.8166667,-114.26666670000002,601,14F03S,Lost-Wood Divide,7900,10.5,13.4,78.0,12.5,14.7,85.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
