,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,46.1833333,-113.85,433,13C39S,Daly Creek,5780,8.7,7.0,124.0,11.7,9.7,121.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2011-02-10,46.6333333,-114.5833333,588,14C05S,Lolo Pass,5240,23.2,19.3,120.0,28.2,24.5,115.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2011-02-10,45.6666667,-113.95,638,13D16S,Moose Creek,6200,15.6,11.9,131.0,18.4,14.5,127.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2011-02-10,45.7333333,-114.48333329999998,662,14D02S,Nez Perce Camp,5650,11.3,9.2,123.0,19.7,14.4,137.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2011-02-10,45.7,-113.96666670000002,727,13D22S,Saddle Mtn.,7940,21.6,16.6,130.0,19.9,16.3,122.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2011-02-10,46.25,-113.76666670000002,760,13C03S,Skalkaho Summit,7250,19.5,14.7,133.0,20.1,15.8,127.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2011-02-10,46.15,-114.45,835,14C13S,Twelvemile Creek,5600,12.7,11.9,107.0,27.5,22.9,120.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2011-02-10,46.15,-114.5,836,14C12S,Twin Lakes,6400,32.2,26.0,124.0,37.7,31.9,118.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2012-02-10,46.1833333,-113.85,433,13C39S,Daly Creek,5780,7.8,7.0,111.0,11.0,9.7,113.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012-02-10,46.6333333,-114.5833333,588,14C05S,Lolo Pass,5240,21.0,19.3,109.0,24.9,24.5,102.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2012-02-10,45.6666667,-113.95,638,13D16S,Moose Creek,6200,10.8,11.9,91.0,14.0,14.5,97.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2012-02-10,45.7333333,-114.48333329999998,662,14D02S,Nez Perce Camp,5650,9.6,9.2,104.0,15.5,14.4,108.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2012-02-10,45.7,-113.96666670000002,727,13D22S,Saddle Mtn.,7940,16.5,16.6,99.0,16.4,16.3,101.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2012-02-10,46.25,-113.76666670000002,760,13C03S,Skalkaho Summit,7250,15.8,14.7,107.0,17.5,15.8,111.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
