,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,47.35,-120.6833333,352,20B02S,Blewett Pass,4240,7.2,12.9,56.0,20.5,22.1,93.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2011-02-10,48.2,-120.9166667,606,20A23S,Lyman Lake,5980,37.9,43.0,88.0,44.8,46.7,96.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2011-02-10,42.0166667,-115.0,871,15G02S,Wilson Creek,7120,10.7,9.9,108.0,16.6,11.6,143.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2011-02-10,48.45,-120.9166667,681,20A12S,Park Creek Ridge,4600,25.5,33.0,77.0,44.4,43.4,102.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2011-02-10,47.9833333,-120.5666667,699,20B24S,Pope Ridge,3590,10.6,14.5,73.0,21.7,22.3,97.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2011-02-10,47.75,-121.1,791,21B01S,Stevens Pass,3950,19.1,29.6,65.0,56.3,55.1,102.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2011-02-10,47.2333333,-120.3,832,20B25S,Trough,5480,6.9,8.1,85.0,15.6,15.2,103.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2011-02-10,47.2833333,-120.3666667,841,20B07S,Upper Wheeler,4330,6.7,9.7,69.0,14.9,15.2,98.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2012-02-10,47.35,-120.6833333,352,20B02S,Blewett Pass,4240,13.1,12.9,102.0,19.0,22.1,86.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012-02-10,48.2,-120.9166667,606,20A23S,Lyman Lake,5980,41.0,43.0,95.0,41.7,46.7,89.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2012-02-10,42.0166667,-115.0,871,15G02S,Wilson Creek,7120,5.1,9.9,52.0,8.3,11.6,72.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2012-02-10,48.45,-120.9166667,681,20A12S,Park Creek Ridge,4600,36.5,33.0,111.0,42.9,43.4,99.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2012-02-10,47.9833333,-120.5666667,699,20B24S,Pope Ridge,3590,15.8,14.5,109.0,20.2,22.3,91.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2012-02-10,47.75,-121.1,791,21B01S,Stevens Pass,3950,28.3,29.6,96.0,52.1,55.1,95.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2012-02-10,47.2333333,-120.3,832,20B25S,Trough,5480,7.8,8.1,96.0,12.3,15.2,81.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2012-02-10,47.2833333,-120.3666667,841,20B07S,Upper Wheeler,4330,6.9,9.7,71.0,11.7,15.2,77.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2013-02-10,47.35,-120.6833333,352,20B02S,Blewett Pass,4240,10.2,12.9,79.0,19.4,22.1,88.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2013-02-10,48.2,-120.9166667,606,20A23S,Lyman Lake,5980,42.1,43.0,98.0,51.7,46.7,111.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2013-02-10,42.0166667,-115.0,871,15G02S,Wilson Creek,7120,10.0,9.9,101.0,12.4,11.6,107.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2013-02-10,48.45,-120.9166667,681,20A12S,Park Creek Ridge,4600,36.4,33.0,110.0,46.9,43.4,108.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2013-02-10,47.9833333,-120.5666667,699,20B24S,Pope Ridge,3590,13.3,14.5,92.0,23.0,22.3,103.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2013-02-10,47.75,-121.1,791,21B01S,Stevens Pass,3950,27.7,29.6,94.0,52.4,55.1,95.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2013-02-10,47.2333333,-120.3,832,20B25S,Trough,5480,7.6,8.1,94.0,16.8,15.2,111.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2013-02-10,47.2833333,-120.3666667,841,20B07S,Upper Wheeler,4330,6.7,9.7,69.0,15.1,15.2,99.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2014-02-10,47.35,-120.6833333,352,20B02S,Blewett Pass,4240,4.7,12.9,36.0,11.1,22.1,50.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2014-02-10,48.2,-120.9166667,606,20A23S,Lyman Lake,5980,24.2,43.0,56.0,25.2,46.7,54.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2014-02-10,42.0166667,-115.0,871,15G02S,Wilson Creek,7120,7.0,9.9,71.0,9.5,11.6,82.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2014-02-10,48.45,-120.9166667,681,20A12S,Park Creek Ridge,4600,15.6,33.0,47.0,21.2,43.4,49.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2014-02-10,47.9833333,-120.5666667,699,20B24S,Pope Ridge,3590,5.2,14.5,36.0,9.3,22.3,42.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2014-02-10,47.75,-121.1,791,21B01S,Stevens Pass,3950,17.1,29.6,58.0,39.0,55.1,71.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2014-02-10,47.2333333,-120.3,832,20B25S,Trough,5480,6.4,8.1,79.0,9.8,15.2,64.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2014-02-10,47.2833333,-120.3666667,841,20B07S,Upper Wheeler,4330,4.5,9.7,46.0,8.4,15.2,55.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2015-02-10,47.35,-120.6833333,352,20B02S,Blewett Pass,4240,4.2,12.9,33.0,20.3,22.1,92.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2015-02-10,48.2,-120.9166667,606,20A23S,Lyman Lake,5980,37.3,43.0,87.0,51.9,46.7,111.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2015-02-10,42.0166667,-115.0,871,15G02S,Wilson Creek,7120,9.5,9.9,96.0,14.5,11.6,125.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2015-02-10,48.45,-120.9166667,681,20A12S,Park Creek Ridge,4600,22.5,33.0,68.0,48.6,43.4,112.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2015-02-10,47.9833333,-120.5666667,699,20B24S,Pope Ridge,3590,10.9,14.5,75.0,25.7,22.3,115.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2015-02-10,47.75,-121.1,791,21B01S,Stevens Pass,3950,12.7,29.6,43.0,56.3,55.1,102.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
