,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,44.3,-115.23333329999998,312,15E11S,Banner Summit,7040,17.2,16.8,102.0,20.9,21.0,100.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2011-02-10,44.466666700000005,-112.98333329999998,318,12E08S,Beagle Springs,8850,7.9,5.5,144.0,8.1,6.8,119.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2011-02-10,44.95,-116.15,319,16E11S,Bear Basin,5350,11.6,11.5,101.0,17.9,17.2,104.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2011-02-10,44.6333333,-115.8,338,15E02S,Big Creek Summit,6560,22.5,22.5,100.0,26.1,24.9,105.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2011-02-10,45.05,-116.1333333,370,16D09S,Brundage Reservoir,6250,19.0,18.8,101.0,27.1,25.8,105.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2011-02-10,46.7666667,-115.3,411,15C16S,Cool Creek,6280,38.2,31.6,121.0,44.5,39.8,112.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2011-02-10,46.5666667,-115.28333329999998,425,15C09S,Crater Meadows,5960,41.7,31.0,135.0,44.9,35.2,128.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2011-02-10,45.1666667,-113.5833333,436,13D19S,Darkhorse Lake,8945,25.6,18.6,138.0,25.4,19.1,133.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2011-02-10,44.55,-115.5666667,439,15E04S,Deadwood Summit,6860,27.8,26.2,106.0,28.1,31.0,91.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2011-02-10,46.8333333,-116.1166667,466,16C20S,Elk Butte,5690,25.8,25.6,101.0,35.6,32.9,108.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2011-02-10,43.8833333,-114.6666667,489,14F17S,Galena,7470,10.3,11.7,88.0,11.7,13.3,88.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2011-02-10,43.8666667,-114.71666670000002,490,14F12S,Galena Summit,8780,12.4,12.6,98.0,13.5,14.0,96.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2011-02-10,46.4833333,-115.6333333,520,15C06S,Hemlock Butte,5810,37.9,31.2,121.0,39.4,35.7,110.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2011-02-10,46.9833333,-115.03333329999998,530,15C10S,Hoodoo Basin,6050,33.1,27.3,121.0,37.2,33.4,111.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2011-02-10,45.0,-113.45,576,13E23S,Lemhi Ridge,8100,9.2,6.8,135.0,9.4,8.6,109.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2011-02-10,46.6333333,-114.5833333,588,14C05S,Lolo Pass,5240,23.2,19.3,120.0,28.2,24.5,115.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2011-02-10,47.0833333,-115.96666670000002,600,15B14S,Lost Lake,6110,38.5,39.9,96.0,48.9,41.9,117.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2011-02-10,44.4333333,-113.3166667,620,13E18S,Meadow Lake,9150,11.2,10.0,112.0,12.2,11.6,105.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2011-02-10,44.466666700000005,-114.48333329999998,627,14E01S,Mill Creek Summit,8800,13.7,12.5,110.0,12.1,13.1,92.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2011-02-10,44.4166667,-113.4,636,13E06S,Moonshine,7440,7.8,6.4,122.0,9.9,8.8,112.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
