,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,48.6833333,-117.1833333,376,17A01S,Bunchgrass Mdw,5000,16.7,19.0,88.0,26.3,25.2,104.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2011-02-10,48.716666700000005,-120.6666667,515,20A05S,Harts Pass,6490,35.8,29.6,121.0,36.1,21.2,112.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2011-02-10,48.3666667,-119.0833333,644,19A13S,Moses Mtn,5010,8.7,10.6,82.0,10.4,13.1,79.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2011-02-10,48.65,-119.8333333,728,19A02S,Salmon Meadows,4460,6.9,6.9,100.0,9.3,10.1,92.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2012-02-10,48.6833333,-117.1833333,376,17A01S,Bunchgrass Mdw,5000,16.4,19.0,86.0,19.6,25.2,78.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2012-02-10,48.716666700000005,-120.6666667,515,20A05S,Harts Pass,6490,33.4,29.6,113.0,27.7,21.2,92.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2012-02-10,48.3666667,-119.0833333,644,19A13S,Moses Mtn,5010,7.6,10.6,72.0,8.6,13.1,66.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2012-02-10,48.65,-119.8333333,728,19A02S,Salmon Meadows,4460,5.8,6.9,84.0,7.8,10.1,77.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2013-02-10,48.6833333,-117.1833333,376,17A01S,Bunchgrass Mdw,5000,16.7,19.0,88.0,29.1,25.2,115.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2013-02-10,48.716666700000005,-120.6666667,515,20A05S,Harts Pass,6490,34.2,29.6,116.0,29.5,21.2,104.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2013-02-10,48.3666667,-119.0833333,644,19A13S,Moses Mtn,5010,17.5,10.6,165.0,17.8,13.1,136.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2013-02-10,48.65,-119.8333333,728,19A02S,Salmon Meadows,4460,10.4,6.9,151.0,13.2,10.1,131.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014-02-10,48.6833333,-117.1833333,376,17A01S,Bunchgrass Mdw,5000,13.5,19.0,71.0,16.5,25.2,65.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2014-02-10,48.716666700000005,-120.6666667,515,20A05S,Harts Pass,6490,22.0,29.6,74.0,17.0,21.2,70.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2014-02-10,48.3666667,-119.0833333,644,19A13S,Moses Mtn,5010,3.7,10.6,35.0,3.9,13.1,30.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2014-02-10,48.65,-119.8333333,728,19A02S,Salmon Meadows,4460,2.4,6.9,35.0,3.4,10.1,34.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2015-02-10,48.6833333,-117.1833333,376,17A01S,Bunchgrass Mdw,5000,11.6,19.0,61.0,24.3,25.2,96.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2015-02-10,48.716666700000005,-120.6666667,515,20A05S,Harts Pass,6490,34.0,29.6,115.0,30.7,21.2,106.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2015-02-10,48.3666667,-119.0833333,644,19A13S,Moses Mtn,5010,5.7,10.6,54.0,13.4,13.1,102.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2015-02-10,48.65,-119.8333333,728,19A02S,Salmon Meadows,4460,6.9,6.9,100.0,13.0,10.1,129.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2016-02-10,48.6833333,-117.1833333,376,17A01S,Bunchgrass Mdw,5000,18.4,19.0,97.0,29.6,25.2,117.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2016-02-10,48.716666700000005,-120.6666667,515,20A05S,Harts Pass,6490,40.7,29.6,138.0,33.8,21.2,108.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2016-02-10,48.3666667,-119.0833333,644,19A13S,Moses Mtn,5010,13.5,10.6,127.0,14.0,13.1,107.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016-02-10,48.65,-119.8333333,728,19A02S,Salmon Meadows,4460,10.0,6.9,145.0,12.6,10.1,125.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2017-02-10,48.6833333,-117.1833333,376,17A01S,Bunchgrass Mdw,5000,13.9,19.0,73.0,34.7,25.2,138.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2017-02-10,48.716666700000005,-120.6666667,515,20A05S,Harts Pass,6490,34.7,29.6,117.0,28.8,21.2,126.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2017-02-10,48.3666667,-119.0833333,644,19A13S,Moses Mtn,5010,11.8,10.6,111.0,16.6,13.1,127.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
