,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,45.1833333,-119.25,304,19D02S,Arbuckle Mtn,5770,12.4,13.3,93.0,23.5,17.5,134.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2011-02-10,44.25,-118.51666670000002,357,18E16S,Blue Mountain Spring,5870,11.8,11.9,99.0,21.3,17.9,119.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2011-02-10,43.5833333,-122.0666667,388,22F03S,Cascade Summit,5100,24.6,20.9,118.0,41.1,37.8,109.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2011-02-10,43.2333333,-121.8,395,21F22S,Chemult Alternate,4850,7.0,8.1,86.0,18.1,15.7,115.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2011-02-10,44.45,-119.9333333,440,19E03S,Derr.,5850,10.6,10.7,99.0,17.1,14.8,116.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2011-02-10,44.4166667,-121.85,526,21E06S,Hogg Pass,4790,11.5,14.9,77.0,44.4,45.5,98.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2011-02-10,43.8,-121.95,545,21F21S,Irish Taylor,5540,20.6,24.4,84.0,42.0,38.6,109.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2011-02-10,45.2666667,-118.85,605,18D06S,Lucky Strike,4970,7.9,6.3,125.0,19.1,12.9,148.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2011-02-10,43.5166667,-121.98333329999998,660,21F10S,New Crescent Lake,4910,8.3,10.7,78.0,27.1,23.1,117.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2011-02-10,44.4333333,-120.3333333,671,20E02S,Ochoco Meadows,5430,7.7,7.6,101.0,17.0,14.6,116.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2011-02-10,44.2666667,-119.01666670000002,789,19E07S,Starr Ridge,5250,4.9,5.4,91.0,13.9,10.0,139.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2011-02-10,44.15,-121.6333333,815,21E13S,Three Creeks Meadow,5690,10.9,13.4,81.0,25.5,25.5,100.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2011-02-10,44.65,-118.4333333,821,18E09S,Tipton,5150,10.5,9.3,113.0,15.8,12.9,122.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2012-02-10,45.1833333,-119.25,304,19D02S,Arbuckle Mtn,5770,9.5,13.3,71.0,13.0,17.5,74.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2012-02-10,44.25,-118.51666670000002,357,18E16S,Blue Mountain Spring,5870,10.4,11.9,87.0,17.8,17.9,99.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2012-02-10,43.5833333,-122.0666667,388,22F03S,Cascade Summit,5100,15.8,20.9,76.0,31.0,37.8,82.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2012-02-10,43.2333333,-121.8,395,21F22S,Chemult Alternate,4850,7.1,8.1,88.0,14.0,15.7,89.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2012-02-10,44.45,-119.9333333,440,19E03S,Derr.,5850,8.6,10.7,80.0,10.8,14.8,73.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2012-02-10,44.4166667,-121.85,526,21E06S,Hogg Pass,4790,14.7,14.9,99.0,38.7,45.5,85.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2012-02-10,43.8,-121.95,545,21F21S,Irish Taylor,5540,19.0,24.4,78.0,33.5,38.6,87.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
