,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,48.1333333,-113.01666670000002,307,13A15S,Badger Pass,6900,24.7,20.3,122.0,24.4,23.2,105.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2011-02-10,47.6833333,-114.0,346,13B25S,Bisson Creek,4920,12.3,6.8,181.0,20.1,11.5,175.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2011-02-10,48.4333333,-113.9333333,469,13A24S,Emery Creek,4350,14.5,10.4,139.0,22.7,17.1,133.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2011-02-10,48.8,-113.85,482,13A19S,Flattop Mtn.,6300,36.0,29.7,121.0,40.3,33.8,119.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2011-02-10,48.9166667,-114.76666670000002,500,14A11S,Grave Creek,4300,13.1,11.4,115.0,18.6,22.8,82.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2011-02-10,48.3,-114.8333333,510,14A14S,Hand Creek,5035,9.6,7.8,123.0,14.7,11.7,126.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2011-02-10,47.4333333,-113.78333329999998,562,13B22S,Kraft Creek,4750,12.8,14.0,101.0,26.1,18.7,140.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2011-02-10,48.8,-113.6666667,613,13A27S,Many Glacier,4900,14.7,10.1,146.0,23.1,22.3,104.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2011-02-10,47.6833333,-113.96666670000002,646,13B24S,Moss Peak,6780,39.1,23.6,166.0,37.6,25.4,148.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2011-02-10,48.15,-113.95,664,13A25S,Noisy Basin,6040,47.4,26.8,177.0,46.8,30.3,154.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
