,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,45.216666700000005,-117.2,302,17D02S,Aneroid Lake #2,7400,9.5,16.0,59.0,19.4,20.9,93.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2011-02-10,45.15,-118.21666670000002,331,18D09S,Beaver Reservoir,5150,7.9,7.1,111.0,17.0,13.9,122.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2011-02-10,44.8333333,-118.1833333,361,18E05S,Bourne,5850,10.6,12.0,88.0,19.6,17.1,115.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2011-02-10,45.1833333,-118.55,422,18D08S,County Line,4830,1.1,4.2,26.0,11.8,10.1,117.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2011-02-10,44.8666667,-118.1166667,464,18E03S,Eilertson Meadows,5510,7.0,8.5,82.0,15.7,14.5,108.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2011-02-10,44.7666667,-118.3166667,494,18E08S,Gold Center,5410,7.5,7.6,99.0,15.3,12.6,121.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2011-02-10,45.2666667,-117.6833333,647,17D06S,Moss Springs,5760,17.1,17.1,100.0,29.5,24.0,123.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2011-02-10,45.2666667,-117.1666667,653,17D18S,Mt. Howard,7910,9.2,10.3,89.0,16.6,18.9,88.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2011-02-10,45.0,-117.1666667,736,17D08S,Schneider Meadows,5400,18.3,22.0,83.0,27.7,26.7,104.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2011-02-10,45.0833333,-117.55,812,17D07S,Taylor Green,5740,15.2,15.2,100.0,23.9,19.2,124.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
