,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,44.5,-111.1333333,347,11E35S,Black Bear,8170,30.5,25.6,119.0,30.0,26.5,113.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2011-02-10,44.4333333,-112.0,424,11E37S,Crab Creek,6900,9.5,8.5,112.0,15.5,11.1,140.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2011-02-10,44.1333333,-110.8333333,499,10E15S,Grassy Lake,7265,25.3,22.2,114.0,28.2,25.6,110.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2011-02-10,44.4166667,-111.3833333,546,11E10S,Island Park,6290,12.9,10.5,123.0,15.9,13.2,120.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2011-02-10,44.216666700000005,-110.6666667,577,10E09S,Lewis Lake Divide,7850,24.5,21.8,112.0,25.1,24.8,101.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2011-02-10,44.5833333,-111.1166667,609,11E31S,Madison Plateau,7750,19.0,15.1,126.0,20.7,18.4,112.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2011-02-10,43.5166667,-110.9166667,689,10F23S,Phillips Bench,8200,21.8,16.9,129.0,23.0,19.5,118.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2011-02-10,43.5666667,-111.21666670000002,695,11F02S,Pine Creek Pass,6720,14.0,10.2,137.0,19.5,15.3,127.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2011-02-10,42.5166667,-111.95,741,11G30S,Sedgwick Peak,7850,17.2,13.6,126.0,20.4,14.5,141.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2011-02-10,43.216666700000005,-111.6833333,749,11F11S,Sheep Mtn.,6650,11.4,9.8,116.0,14.9,11.6,128.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2011-02-10,42.5666667,-111.3,761,11G05S,Slug Creek Divide,7225,14.2,9.6,148.0,19.8,14.4,138.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2011-02-10,42.95,-111.3666667,770,11G01S,Somsen Ranch,6800,8.9,9.4,95.0,14.9,11.8,126.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2011-02-10,44.6166667,-111.15,858,11E30S,Whiskey Creek,6800,13.2,10.0,132.0,16.2,14.1,115.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2011-02-10,44.5333333,-111.4166667,860,11E36S,White Elephant,7710,21.0,17.4,121.0,24.4,20.3,120.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2011-02-10,42.75,-112.48333329999998,867,12G17S,Wildhorse Divide,6490,13.2,9.8,135.0,17.6,13.4,131.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2012-02-10,44.5,-111.1333333,347,11E35S,Black Bear,8170,23.0,25.6,90.0,24.3,26.5,92.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2012-02-10,44.4333333,-112.0,424,11E37S,Crab Creek,6900,5.5,8.5,65.0,9.0,11.1,81.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2012-02-10,44.1333333,-110.8333333,499,10E15S,Grassy Lake,7265,20.8,22.2,94.0,25.0,25.6,98.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2012-02-10,44.4166667,-111.3833333,546,11E10S,Island Park,6290,8.7,10.5,83.0,10.7,13.2,81.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2012-02-10,44.216666700000005,-110.6666667,577,10E09S,Lewis Lake Divide,7850,19.7,21.8,90.0,24.5,24.8,99.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2012-02-10,44.5833333,-111.1166667,609,11E31S,Madison Plateau,7750,13.7,15.1,91.0,17.5,18.4,95.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2012-02-10,43.5166667,-110.9166667,689,10F23S,Phillips Bench,8200,16.2,16.9,96.0,18.0,19.5,92.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2012-02-10,43.5666667,-111.21666670000002,695,11F02S,Pine Creek Pass,6720,12.6,10.2,124.0,15.7,15.3,103.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2012-02-10,42.5166667,-111.95,741,11G30S,Sedgwick Peak,7850,9.6,13.6,71.0,13.1,14.5,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2012-02-10,43.216666700000005,-111.6833333,749,11F11S,Sheep Mtn.,6650,8.6,9.8,88.0,11.2,11.6,97.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2012-02-10,42.5666667,-111.3,761,11G05S,Slug Creek Divide,7225,9.1,9.6,95.0,13.2,14.4,92.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2012-02-10,42.95,-111.3666667,770,11G01S,Somsen Ranch,6800,9.2,9.4,98.0,12.9,11.8,109.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2012-02-10,44.6166667,-111.15,858,11E30S,Whiskey Creek,6800,9.5,10.0,95.0,12.8,14.1,91.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2012-02-10,44.5333333,-111.4166667,860,11E36S,White Elephant,7710,14.8,17.4,85.0,16.9,20.3,83.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2012-02-10,42.75,-112.48333329999998,867,12G17S,Wildhorse Divide,6490,8.5,9.8,87.0,13.3,13.4,99.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2013-02-10,44.5,-111.1333333,347,11E35S,Black Bear,8170,27.1,25.6,106.0,25.9,26.5,98.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2013-02-10,44.4333333,-112.0,424,11E37S,Crab Creek,6900,8.7,8.5,102.0,12.9,11.1,116.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2013-02-10,44.1333333,-110.8333333,499,10E15S,Grassy Lake,7265,18.7,22.2,84.0,22.3,25.6,87.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2013-02-10,44.4166667,-111.3833333,546,11E10S,Island Park,6290,8.6,10.5,82.0,13.9,13.2,105.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2013-02-10,44.216666700000005,-110.6666667,577,10E09S,Lewis Lake Divide,7850,20.1,21.8,92.0,23.7,24.8,96.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2013-02-10,44.5833333,-111.1166667,609,11E31S,Madison Plateau,7750,15.9,15.1,105.0,19.1,18.4,104.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2013-02-10,43.5166667,-110.9166667,689,10F23S,Phillips Bench,8200,14.4,16.9,85.0,16.4,19.5,84.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2013-02-10,43.5666667,-111.21666670000002,695,11F02S,Pine Creek Pass,6720,8.3,10.2,81.0,15.6,15.3,102.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2013-02-10,42.5166667,-111.95,741,11G30S,Sedgwick Peak,7850,11.5,13.6,85.0,13.3,14.5,92.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2013-02-10,43.216666700000005,-111.6833333,749,11F11S,Sheep Mtn.,6650,6.2,9.8,63.0,11.3,11.6,97.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2013-02-10,42.5666667,-111.3,761,11G05S,Slug Creek Divide,7225,9.6,9.6,100.0,13.7,14.4,95.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2013-02-10,42.95,-111.3666667,770,11G01S,Somsen Ranch,6800,6.7,9.4,71.0,11.8,11.8,100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2013-02-10,44.6166667,-111.15,858,11E30S,Whiskey Creek,6800,7.9,10.0,79.0,14.0,14.1,99.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2013-02-10,44.5333333,-111.4166667,860,11E36S,White Elephant,7710,21.1,17.4,121.0,22.7,20.3,112.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
