,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,48.3,-116.0666667,323,16A08S,Bear Mountain,5400,37.4,38.6,97.0,54.2,49.5,109.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2011-02-10,48.6833333,-117.1833333,376,17A01S,Bunchgrass Mdw,5000,16.7,19.0,88.0,26.3,25.2,104.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2011-02-10,47.5333333,-115.78333329999998,535,15B21S,Humboldt Gulch,4250,9.7,8.9,109.0,31.5,26.6,118.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2011-02-10,47.45,-115.7,594,15B02S,Lookout,5190,21.3,20.0,106.0,29.9,28.9,103.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2011-02-10,47.0833333,-115.96666670000002,600,15B14S,Lost Lake,6110,38.5,39.9,96.0,48.9,41.9,117.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2011-02-10,47.15,-116.26666670000002,623,16B14S,Mica Creek,4510,15.5,17.6,88.0,36.5,30.6,119.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2011-02-10,48.05,-116.23333329999998,645,16A04S,Mosquito Ridge,5260,26.4,26.0,102.0,37.1,32.3,115.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2011-02-10,47.8833333,-117.0833333,707,17B04S,Quartz Peak,4700,17.0,15.6,109.0,30.8,24.3,127.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2011-02-10,48.3666667,-116.6333333,738,16A10S,Schweitzer Basin,6090,35.1,32.8,107.0,29.0,29.3,99.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2011-02-10,46.95,-116.3333333,752,16C01S,Sherwin,3200,8.5,8.3,102.0,23.9,21.0,114.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2011-02-10,47.55,-115.8166667,803,15B09S,Sunset,5540,18.5,17.3,107.0,33.4,26.3,127.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2012-02-10,48.3,-116.0666667,323,16A08S,Bear Mountain,5400,37.8,38.6,98.0,41.8,49.5,84.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2012-02-10,48.6833333,-117.1833333,376,17A01S,Bunchgrass Mdw,5000,16.4,19.0,86.0,19.6,25.2,78.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2012-02-10,47.5333333,-115.78333329999998,535,15B21S,Humboldt Gulch,4250,11.5,8.9,129.0,23.2,26.6,87.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2012-02-10,47.45,-115.7,594,15B02S,Lookout,5190,19.6,20.0,98.0,24.0,28.9,83.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2012-02-10,47.0833333,-115.96666670000002,600,15B14S,Lost Lake,6110,31.1,39.9,78.0,35.1,41.9,84.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2012-02-10,47.15,-116.26666670000002,623,16B14S,Mica Creek,4510,15.5,17.6,88.0,22.6,30.6,74.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2012-02-10,48.05,-116.23333329999998,645,16A04S,Mosquito Ridge,5260,25.4,26.0,98.0,27.1,32.3,84.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
