,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,48.5666667,-115.45,311,15A08S,Banfield Mountain,5600,12.1,12.2,99.0,17.5,17.8,98.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2011-02-10,48.3,-116.0666667,323,16A08S,Bear Mountain,5400,37.4,38.6,97.0,54.2,49.5,109.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2011-02-10,48.9833333,-115.8166667,918,15A05S,Garver Creek,4250,7.7,6.9,112.0,12.2,12.9,95.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,2011-02-10,48.9166667,-114.76666670000002,500,14A11S,Grave Creek,4300,13.1,11.4,115.0,18.6,22.8,82.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,2011-02-10,48.3,-114.8333333,510,14A14S,Hand Creek,5035,9.6,7.8,123.0,14.7,11.7,126.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,2011-02-10,48.966666700000005,-115.95,516,15A03S,Hawkins Lake,6450,18.5,16.8,110.0,22.2,20.9,106.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,2011-02-10,48.1333333,-115.6166667,932,15A12S,Poorman Creek,5100,32.2,23.7,136.0,47.8,39.8,120.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,2011-02-10,48.9166667,-114.8666667,787,14A12S,Stahl Peak,6030,31.4,23.2,135.0,34.4,26.6,129.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,2012-02-10,48.5666667,-115.45,311,15A08S,Banfield Mountain,5600,13.0,12.2,107.0,18.3,17.8,103.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,2012-02-10,48.3,-116.0666667,323,16A08S,Bear Mountain,5400,37.8,38.6,98.0,41.8,49.5,84.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,2012-02-10,48.9833333,-115.8166667,918,15A05S,Garver Creek,4250,9.0,6.9,130.0,14.5,12.9,112.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,2012-02-10,48.9166667,-114.76666670000002,500,14A11S,Grave Creek,4300,10.1,11.4,89.0,19.4,22.8,85.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,2012-02-10,48.3,-114.8333333,510,14A14S,Hand Creek,5035,6.9,7.8,88.0,12.5,11.7,107.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,2012-02-10,48.966666700000005,-115.95,516,15A03S,Hawkins Lake,6450,22.0,16.8,131.0,23.8,20.9,114.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,2012-02-10,48.1333333,-115.6166667,932,15A12S,Poorman Creek,5100,27.9,23.7,118.0,36.7,39.8,92.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,2012-02-10,48.9166667,-114.8666667,787,14A12S,Stahl Peak,6030,19.8,23.2,85.0,24.5,26.6,92.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,2013-02-10,48.5666667,-115.45,311,15A08S,Banfield Mountain,5600,12.5,12.2,102.0,20.5,17.8,115.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2013-02-10,48.3,-116.0666667,323,16A08S,Bear Mountain,5400,37.1,38.6,96.0,55.3,49.5,112.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,2013-02-10,48.9833333,-115.8166667,918,15A05S,Garver Creek,4250,6.7,6.9,97.0,14.1,12.9,109.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,2013-02-10,48.9166667,-114.76666670000002,500,14A11S,Grave Creek,4300,9.7,11.4,85.0,24.4,22.8,107.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,2013-02-10,48.3,-114.8333333,510,14A14S,Hand Creek,5035,5.9,7.8,76.0,13.0,11.7,111.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,2013-02-10,48.966666700000005,-115.95,516,15A03S,Hawkins Lake,6450,19.6,16.8,117.0,26.9,20.9,129.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,2013-02-10,48.1333333,-115.6166667,932,15A12S,Poorman Creek,5100,24.2,23.7,102.0,44.1,39.8,111.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,2013-02-10,48.9166667,-114.8666667,787,14A12S,Stahl Peak,6030,20.6,23.2,89.0,26.5,26.6,100.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,2014-02-10,48.5666667,-115.45,311,15A08S,Banfield Mountain,5600,10.0,12.2,82.0,12.7,17.8,71.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,2014-02-10,48.3,-116.0666667,323,16A08S,Bear Mountain,5400,28.1,38.6,73.0,29.7,49.5,60.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,2014-02-10,48.9833333,-115.8166667,918,15A05S,Garver Creek,4250,5.0,6.9,72.0,7.7,12.9,60.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,2014-02-10,48.9166667,-114.76666670000002,500,14A11S,Grave Creek,4300,11.9,11.4,104.0,16.1,22.8,71.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
