,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,46.15,-122.15,553,22C09S,June Lake,3440,25.1,29.4,85.0,100.0,99.4,101.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2011-02-10,46.2666667,-121.96666670000002,591,21C26S,Lone Pine,3930,24.4,25.0,98.0,51.8,57.6,90.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2011-02-10,46.7833333,-121.75,679,21C35S,Paradise,5130,44.0,47.6,92.0,71.9,67.2,107.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2011-02-10,46.6166667,-121.3833333,692,21C33S,Pigtail Peak,5800,33.1,36.4,91.0,46.7,46.4,101.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,2011-02-10,46.35,-121.51666670000002,702,21C14S,Potato Hill,4510,18.6,18.7,99.0,41.7,38.3,109.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2011-02-10,46.2,-122.25,748,22C10S,Sheep Canyon,3990,23.1,23.1,100.0,82.3,71.9,114.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,2011-02-10,46.1833333,-121.9333333,776,21C20S,Spencer Meadow,3400,14.7,24.1,61.0,55.6,59.5,93.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2011-02-10,46.2666667,-122.1833333,777,22C12S,Spirit Lake,3520,1.4,3.2,44.0,52.8,52.1,101.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2011-02-10,46.35,-121.0833333,599,21C39S,Lost Horse,5120,10.0,14.7,68.0,16.5,20.6,80.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2011-02-10,46.1,-121.76666670000002,804,21C13S,Surprise Lakes,4290,28.5,35.4,81.0,63.0,57.7,109.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2012-02-10,46.15,-122.15,553,22C09S,June Lake,3440,24.3,29.4,83.0,81.2,99.4,82.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2012-02-10,46.2666667,-121.96666670000002,591,21C26S,Lone Pine,3930,22.4,25.0,90.0,43.8,57.6,76.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2012-02-10,46.7833333,-121.75,679,21C35S,Paradise,5130,46.9,47.6,99.0,56.4,67.2,84.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2012-02-10,46.6166667,-121.3833333,692,21C33S,Pigtail Peak,5800,41.3,36.4,113.0,47.2,46.4,102.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2012-02-10,46.35,-121.51666670000002,702,21C14S,Potato Hill,4510,19.7,18.7,105.0,35.7,38.3,93.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2012-02-10,46.2,-122.25,748,22C10S,Sheep Canyon,3990,22.1,23.1,96.0,69.4,71.9,97.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,2012-02-10,46.1833333,-121.9333333,776,21C20S,Spencer Meadow,3400,18.1,24.1,75.0,48.0,59.5,81.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,2012-02-10,46.2666667,-122.1833333,777,22C12S,Spirit Lake,3520,2.1,3.2,66.0,44.4,52.1,85.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,2012-02-10,46.35,-121.0833333,599,21C39S,Lost Horse,5120,14.8,14.7,101.0,16.8,20.6,82.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,2012-02-10,46.1,-121.76666670000002,804,21C13S,Surprise Lakes,4290,30.5,35.4,86.0,57.3,57.7,99.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2013-02-10,46.15,-122.15,553,22C09S,June Lake,3440,42.7,29.4,145.0,109.3,99.4,110.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,2013-02-10,46.2666667,-121.96666670000002,591,21C26S,Lone Pine,3930,41.8,25.0,167.0,72.8,57.6,126.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,2013-02-10,46.7833333,-121.75,679,21C35S,Paradise,5130,56.0,47.6,118.0,72.8,67.2,108.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,2013-02-10,46.6166667,-121.3833333,692,21C33S,Pigtail Peak,5800,33.2,36.4,91.0,45.0,46.4,97.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,2013-02-10,46.35,-121.51666670000002,702,21C14S,Potato Hill,4510,23.2,18.7,124.0,43.2,38.3,113.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,2013-02-10,46.2,-122.25,748,22C10S,Sheep Canyon,3990,39.7,23.1,172.0,98.3,71.9,137.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,2013-02-10,46.1833333,-121.9333333,776,21C20S,Spencer Meadow,3400,26.1,24.1,108.0,62.2,59.5,105.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,2013-02-10,46.2666667,-122.1833333,777,22C12S,Spirit Lake,3520,17.7,3.2,553.0,57.2,52.1,110.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,2013-02-10,46.35,-121.0833333,599,21C39S,Lost Horse,5120,12.7,14.7,86.0,21.3,20.6,103.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,2013-02-10,46.1,-121.76666670000002,804,21C13S,Surprise Lakes,4290,38.1,35.4,108.0,68.8,57.7,119.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,2014-02-10,46.15,-122.15,553,22C09S,June Lake,3440,10.1,29.4,34.0,51.1,99.4,51.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,2014-02-10,46.2666667,-121.96666670000002,591,21C26S,Lone Pine,3930,6.8,25.0,27.0,27.9,57.6,48.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,2014-02-10,46.7833333,-121.75,679,21C35S,Paradise,5130,38.8,47.6,82.0,47.8,67.2,71.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,2014-02-10,46.6166667,-121.3833333,692,21C33S,Pigtail Peak,5800,32.8,36.4,90.0,34.6,46.4,75.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,2014-02-10,46.35,-121.51666670000002,702,21C14S,Potato Hill,4510,14.1,18.7,75.0,23.3,38.3,61.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,2014-02-10,46.2,-122.25,748,22C10S,Sheep Canyon,3990,12.5,23.1,54.0,44.4,71.9,62.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,2014-02-10,46.1833333,-121.9333333,776,21C20S,Spencer Meadow,3400,5.7,24.1,24.0,28.6,59.5,48.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,2014-02-10,46.2666667,-122.1833333,777,22C12S,Spirit Lake,3520,1.9,3.2,59.0,34.1,52.1,65.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,2014-02-10,46.35,-121.0833333,599,21C39S,Lost Horse,5120,4.5,14.7,31.0,9.9,20.6,48.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,2014-02-10,46.1,-121.76666670000002,804,21C13S,Surprise Lakes,4290,18.7,35.4,53.0,38.8,57.7,67.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,2015-02-10,46.15,-122.15,553,22C09S,June Lake,3440,0.0,29.4,0.0,104.2,99.4,105.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
