,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,45.1,-119.5,608,19D03S,Madison Butte,5150,3.4,4.0,85.0,12.6,8.9,142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2011-02-10,45.4333333,-121.85,351,21D33S,Blazed Alder,3650,13.6,20.9,65.0,73.1,68.9,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2011-02-10,45.1833333,-121.6833333,401,21D12S,Clear Lake,3810,4.5,10.6,42.0,25.8,26.5,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,2011-02-10,45.6166667,-121.7,504,21D01S,Greenpoint,3310,4.1,15.0,27.0,44.2,44.4,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,2011-02-10,45.55,-122.0,666,22D02S,North Fork,3060,7.9,12.7,62.0,98.2,83.8,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,2011-02-10,45.466666700000005,-121.7,712,21D04S,Red Hill,4410,24.4,35.3,69.0,66.3,64.9,102.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,2012-02-10,45.1,-119.5,608,19D03S,Madison Butte,5150,3.2,4.0,80.0,5.9,8.9,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,2012-02-10,45.4333333,-121.85,351,21D33S,Blazed Alder,3650,18.0,20.9,86.0,67.6,68.9,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,2012-02-10,45.1833333,-121.6833333,401,21D12S,Clear Lake,3810,7.5,10.6,71.0,24.2,26.5,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,2012-02-10,45.6166667,-121.7,504,21D01S,Greenpoint,3310,8.0,15.0,53.0,43.4,44.4,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,2012-02-10,45.55,-122.0,666,22D02S,North Fork,3060,12.0,12.7,94.0,86.4,83.8,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,2012-02-10,45.466666700000005,-121.7,712,21D04S,Red Hill,4410,31.6,35.3,90.0,65.8,64.9,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,2013-02-10,45.1,-119.5,608,19D03S,Madison Butte,5150,6.6,4.0,165.0,9.8,8.9,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,2013-02-10,45.4333333,-121.85,351,21D33S,Blazed Alder,3650,24.6,20.9,118.0,67.6,68.9,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,2013-02-10,45.1833333,-121.6833333,401,21D12S,Clear Lake,3810,7.5,10.6,71.0,23.9,26.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,2013-02-10,45.6166667,-121.7,504,21D01S,Greenpoint,3310,10.7,15.0,71.0,41.6,44.4,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,2013-02-10,45.55,-122.0,666,22D02S,North Fork,3060,22.0,12.7,173.0,94.3,83.8,113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,2013-02-10,45.466666700000005,-121.7,712,21D04S,Red Hill,4410,29.6,35.3,84.0,66.9,64.9,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,2014-02-10,45.1,-119.5,608,19D03S,Madison Butte,5150,3.4,4.0,85.0,7.2,8.9,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,2014-02-10,45.4333333,-121.85,351,21D33S,Blazed Alder,3650,12.4,20.9,59.0,54.6,68.9,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,2014-02-10,45.1833333,-121.6833333,401,21D12S,Clear Lake,3810,3.8,10.6,36.0,15.2,26.5,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,2014-02-10,45.6166667,-121.7,504,21D01S,Greenpoint,3310,4.7,15.0,31.0,32.6,44.4,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,2014-02-10,45.55,-122.0,666,22D02S,North Fork,3060,7.5,12.7,59.0,57.9,83.8,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,2014-02-10,45.466666700000005,-121.7,712,21D04S,Red Hill,4410,20.7,35.3,59.0,42.4,64.9,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,2015-02-10,45.1,-119.5,608,19D03S,Madison Butte,5150,0.0,4.0,0.0,8.0,8.9,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,2015-02-10,45.4333333,-121.85,351,21D33S,Blazed Alder,3650,0.0,20.9,0.0,74.9,68.9,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,2015-02-10,45.1833333,-121.6833333,401,21D12S,Clear Lake,3810,0.0,10.6,0.0,26.3,26.5,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,2015-02-10,45.6166667,-121.7,504,21D01S,Greenpoint,3310,0.0,15.0,0.0,48.4,44.4,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,2015-02-10,45.55,-122.0,666,22D02S,North Fork,3060,0.0,12.7,0.0,90.6,83.8,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,2015-02-10,45.466666700000005,-121.7,712,21D04S,Red Hill,4410,0.0,35.3,0.0,62.7,64.9,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,2016-02-10,45.1,-119.5,608,19D03S,Madison Butte,5150,5.7,4.0,142.0,8.5,8.9,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,2016-02-10,45.4333333,-121.85,351,21D33S,Blazed Alder,3650,21.4,20.9,102.0,82.0,68.9,119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,2016-02-10,45.1833333,-121.6833333,401,21D12S,Clear Lake,3810,9.5,10.6,90.0,29.7,26.5,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
