,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,41.7666667,-115.7,336,15H04S,Big Bend,6898,7.5,6.8,110.0,10.5,7.6,138.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2011-02-10,44.25,-118.51666670000002,357,18E16S,Blue Mountain Spring,5870,11.8,11.9,99.0,21.3,17.9,119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2011-02-10,41.8166667,-116.1,476,16H08S,Fawn Creek,7031,10.7,10.9,98.0,17.6,15.0,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,2011-02-10,41.55,-116.0,548,16H02S,Jack Creek Upper,7377,9.7,10.7,91.0,16.8,13.5,124.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,2011-02-10,44.216666700000005,-118.6333333,563,18E18S,Lake Creek R.S.,5240,8.1,10.1,80.0,17.0,13.8,123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,2011-02-10,41.7833333,-116.03333329999998,573,16H05S,Laurel Draw,6682,6.8,8.5,80.0,15.1,12.5,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,2011-02-10,42.6,-116.5666667,654,16G07S,Mud Flat,5730,7.7,5.6,138.0,12.0,8.0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,2011-02-10,42.7666667,-116.9,774,16G01S,South Mtn.,6500,11.9,12.8,93.0,21.8,16.4,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,2011-02-10,41.2333333,-116.03333329999998,811,15H09S,Taylor Canyon,6325,4.6,4.4,105.0,9.3,6.0,155.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,2012-02-10,41.7666667,-115.7,336,15H04S,Big Bend,6898,5.6,6.8,82.0,7.9,7.6,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,2012-02-10,44.25,-118.51666670000002,357,18E16S,Blue Mountain Spring,5870,10.4,11.9,87.0,17.8,17.9,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,2012-02-10,41.8166667,-116.1,476,16H08S,Fawn Creek,7031,6.1,10.9,56.0,11.7,15.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,2012-02-10,41.55,-116.0,548,16H02S,Jack Creek Upper,7377,7.8,10.7,73.0,10.5,13.5,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,2012-02-10,44.216666700000005,-118.6333333,563,18E18S,Lake Creek R.S.,5240,8.9,10.1,88.0,11.3,13.8,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,2012-02-10,41.7833333,-116.03333329999998,573,16H05S,Laurel Draw,6682,5.3,8.5,62.0,11.2,12.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,2012-02-10,42.6,-116.5666667,654,16G07S,Mud Flat,5730,4.2,5.6,75.0,7.0,8.0,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,2012-02-10,42.7666667,-116.9,774,16G01S,South Mtn.,6500,8.7,12.8,68.0,13.3,16.4,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,2012-02-10,41.2333333,-116.03333329999998,811,15H09S,Taylor Canyon,6325,1.9,4.4,43.0,5.3,6.0,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,2013-02-10,41.7666667,-115.7,336,15H04S,Big Bend,6898,5.3,6.8,78.0,8.4,7.6,111.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,2013-02-10,44.25,-118.51666670000002,357,18E16S,Blue Mountain Spring,5870,8.4,11.9,71.0,17.9,17.9,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,2013-02-10,41.8166667,-116.1,476,16H08S,Fawn Creek,7031,9.7,10.9,89.0,16.5,15.0,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,2013-02-10,41.55,-116.0,548,16H02S,Jack Creek Upper,7377,8.9,10.7,83.0,13.9,13.5,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
