,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,41.8333333,-115.45,321,15H01S,Bear Creek,8040,15.8,13.1,121.0,22.2,15.0,148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2011-02-10,41.7666667,-115.7,336,15H04S,Big Bend,6898,7.5,6.8,110.0,10.5,7.6,138.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2011-02-10,42.1666667,-114.2,359,14G01S,Bostetter R.S.,7500,10.7,10.8,99.0,17.2,12.2,141.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2011-02-10,42.3166667,-113.6166667,534,13G01S,Howell Canyon,7980,20.6,15.4,134.0,25.3,18.5,137.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,2011-02-10,42.1833333,-114.28333329999998,610,14G02S,Magic Mountain,6880,12.4,13.5,92.0,16.7,15.6,107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2011-02-10,41.8666667,-115.25,698,15H14S,Pole Creek R.S.,8360,16.4,13.2,124.0,11.2,8.0,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,2011-02-10,41.7333333,-115.46666670000002,746,15H03S,Seventysix Creek,7350,7.1,8.0,89.0,13.1,10.2,128.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,2011-02-10,42.0166667,-115.0,871,15G02S,Wilson Creek,7120,10.7,9.9,108.0,16.6,11.6,143.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,2012-02-10,41.8333333,-115.45,321,15H01S,Bear Creek,8040,8.4,13.1,64.0,12.3,15.0,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,2012-02-10,41.7666667,-115.7,336,15H04S,Big Bend,6898,5.6,6.8,82.0,7.9,7.6,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,2012-02-10,42.1666667,-114.2,359,14G01S,Bostetter R.S.,7500,13.3,10.8,123.0,14.7,12.2,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,2012-02-10,42.3166667,-113.6166667,534,13G01S,Howell Canyon,7980,17.5,15.4,114.0,22.0,18.5,119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,2012-02-10,42.1833333,-114.28333329999998,610,14G02S,Magic Mountain,6880,14.1,13.5,104.0,17.4,15.6,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,2012-02-10,41.8666667,-115.25,698,15H14S,Pole Creek R.S.,8360,8.4,13.2,64.0,6.2,8.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,2012-02-10,41.7333333,-115.46666670000002,746,15H03S,Seventysix Creek,7350,6.4,8.0,80.0,10.0,10.2,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,2012-02-10,42.0166667,-115.0,871,15G02S,Wilson Creek,7120,5.1,9.9,52.0,8.3,11.6,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,2013-02-10,41.8333333,-115.45,321,15H01S,Bear Creek,8040,12.7,13.1,97.0,16.2,15.0,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,2013-02-10,41.7666667,-115.7,336,15H04S,Big Bend,6898,5.3,6.8,78.0,8.4,7.6,111.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,2013-02-10,42.1666667,-114.2,359,14G01S,Bostetter R.S.,7500,10.5,10.8,97.0,13.2,12.2,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,2013-02-10,42.3166667,-113.6166667,534,13G01S,Howell Canyon,7980,15.6,15.4,101.0,18.2,18.5,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,2013-02-10,42.1833333,-114.28333329999998,610,14G02S,Magic Mountain,6880,12.4,13.5,92.0,15.4,15.6,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,2013-02-10,41.8666667,-115.25,698,15H14S,Pole Creek R.S.,8360,13.2,13.2,100.0,7.2,8.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,2013-02-10,41.7333333,-115.46666670000002,746,15H03S,Seventysix Creek,7350,5.4,8.0,68.0,9.7,10.2,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,2013-02-10,42.0166667,-115.0,871,15G02S,Wilson Creek,7120,10.0,9.9,101.0,12.4,11.6,107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,2014-02-10,41.8333333,-115.45,321,15H01S,Bear Creek,8040,7.6,13.1,58.0,9.6,15.0,64.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
