,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,43.9333333,-110.45,314,10F02S,Base Camp,7060,14.6,11.5,127.0,17.5,14.9,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2011-02-10,42.966666700000005,-110.6166667,353,10G02S,Blind Bull Sum,8650,21.5,15.1,142.0,15.4,13.7,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,2011-02-10,42.65,-110.8166667,419,10G25S,Cottonwood Creek,7670,19.3,13.8,140.0,26.2,16.9,155.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2011-02-10,43.1333333,-110.2,460,10F17S,East Rim Divide,7930,10.7,7.0,153.0,9.5,8.2,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,2011-02-10,43.35,-110.4333333,497,10F29S,Granite Creek,6770,14.4,11.6,124.0,16.7,14.5,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,2011-02-10,44.1333333,-110.8333333,499,10E15S,Grassy Lake,7265,25.3,22.2,114.0,28.2,25.6,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,2011-02-10,43.3833333,-110.1333333,506,10F19S,Gros Ventre Summit,8750,11.2,8.7,129.0,11.2,8.7,129.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,2011-02-10,44.216666700000005,-110.6666667,577,10E09S,Lewis Lake Divide,7850,24.5,21.8,112.0,25.1,24.8,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,2011-02-10,43.1666667,-110.1333333,597,10F16S,Loomis Park,8240,13.7,10.2,134.0,14.8,12.0,123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,2011-02-10,43.5166667,-110.9166667,689,10F23S,Phillips Bench,8200,21.8,16.9,129.0,23.0,19.5,118.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,2011-02-10,42.5,-110.9166667,730,10G08S,Salt River Summit,7640,11.9,8.5,140.0,15.9,11.4,139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,2011-02-10,42.5333333,-110.6666667,779,10G20S,Spring Creek Divide,9000,25.3,15.7,161.0,25.0,16.5,152.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,2011-02-10,43.75,-110.05,822,10F09S,Togwotee Pass,9580,21.5,15.7,137.0,22.8,16.9,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,2011-02-10,44.15,-110.21666670000002,837,10E17S,Two Ocean Plateau,9240,23.9,18.9,126.0,19.9,18.5,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,2011-02-10,42.8166667,-110.8333333,868,10G23S,Willow Creek,8080,24.1,18.2,132.0,29.3,23.0,127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,2012-02-10,43.9333333,-110.45,314,10F02S,Base Camp,7060,14.4,11.5,125.0,17.5,14.9,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,2012-02-10,42.966666700000005,-110.6166667,353,10G02S,Blind Bull Sum,8650,15.3,15.1,101.0,12.9,13.7,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,2012-02-10,42.65,-110.8166667,419,10G25S,Cottonwood Creek,7670,12.6,13.8,91.0,17.4,16.9,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,2012-02-10,43.1333333,-110.2,460,10F17S,East Rim Divide,7930,8.1,7.0,116.0,8.9,8.2,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,2012-02-10,43.35,-110.4333333,497,10F29S,Granite Creek,6770,11.0,11.6,95.0,11.9,14.5,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,2012-02-10,44.1333333,-110.8333333,499,10E15S,Grassy Lake,7265,20.8,22.2,94.0,25.0,25.6,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,2012-02-10,43.3833333,-110.1333333,506,10F19S,Gros Ventre Summit,8750,7.2,8.7,83.0,7.9,8.7,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
