,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,45.1833333,-119.25,304,19D02S,Arbuckle Mtn,5770,12.4,13.3,93.0,23.5,17.5,134.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2011-02-10,45.3666667,-118.46666670000002,362,18D20S,Bowman Springs,4530,6.8,6.7,101.0,17.6,12.5,141.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2011-02-10,45.55,-118.45,470,18D04S,Emigrant Springs,3800,5.8,5.3,109.0,19.8,16.7,119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2011-02-10,45.7,-118.1,523,18D19S,High Ridge,4920,18.3,17.1,107.0,30.3,26.7,113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,2011-02-10,46.1166667,-117.85,824,17C05S,Touchet,5530,15.3,22.4,68.0,31.1,31.7,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,2012-02-10,45.1833333,-119.25,304,19D02S,Arbuckle Mtn,5770,9.5,13.3,71.0,13.0,17.5,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,2012-02-10,45.3666667,-118.46666670000002,362,18D20S,Bowman Springs,4530,5.4,6.7,81.0,9.3,12.5,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2012-02-10,45.55,-118.45,470,18D04S,Emigrant Springs,3800,3.7,5.3,70.0,13.9,16.7,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,2012-02-10,45.7,-118.1,523,18D19S,High Ridge,4920,16.6,17.1,97.0,25.1,26.7,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,2012-02-10,46.1166667,-117.85,824,17C05S,Touchet,5530,19.2,22.4,86.0,29.1,31.7,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
