,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,46.1,-113.1333333,313,13C44S,Barker Lakes,8250,9.8,8.6,114.0,11.6,10.5,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2011-02-10,45.8,-112.51666670000002,315,12D09S,Basin Creek,7180,5.5,4.8,115.0,7.0,6.0,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2011-02-10,46.4166667,-113.4333333,349,13C13S,Black Pine,7210,10.4,6.7,155.0,11.8,9.1,130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2011-02-10,46.466666700000005,-113.4,410,13C33S,Combination,5600,4.1,3.4,121.0,7.9,6.5,122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,2011-02-10,47.05,-112.6,413,12B16S,Copper Bottom,5200,6.2,14.0,101.0,12.9,11.7,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,2011-02-10,47.0833333,-112.73333329999998,414,12B14S,Copper Camp,6950,40.4,14.0,101.0,22.6,23.0,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,2011-02-10,46.8833333,-113.3166667,604,13C38S,Lubrecht Flume,4680,5.9,4.1,144.0,9.6,7.4,130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,2011-02-10,46.85,-112.5,903,12C22S,Nevada Ridge,7020,13.3,9.4,141.0,14.8,11.5,129.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,2011-02-10,46.8666667,-113.28333329999998,657,13C31S,N Fk Elk Creek,6250,11.7,7.3,160.0,12.7,9.6,132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,2011-02-10,47.2666667,-113.75,667,13B07S,North Fork Jocko,6330,41.0,28.8,142.0,45.2,35.5,127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,2011-02-10,46.1333333,-113.3,930,13C36S,Peterson Meadows,7200,6.5,5.8,112.0,8.5,7.5,113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,2011-02-10,46.35,-112.26666670000002,722,12C11S,Rocker Peak,8000,11.2,8.7,129.0,11.1,9.1,122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,2011-02-10,46.25,-113.76666670000002,760,13C03S,Skalkaho Summit,7250,19.5,14.7,133.0,20.1,15.8,127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,2011-02-10,47.0,-113.9333333,901,13C01S,Stuart Mountain,7400,33.5,21.9,153.0,33.0,22.8,145.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,2011-02-10,46.2666667,-113.1666667,850,13C43S,Warm Springs,7800,17.6,13.1,134.0,18.4,15.2,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,2012-02-10,46.1,-113.1333333,313,13C44S,Barker Lakes,8250,6.9,8.6,80.0,9.7,10.5,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,2012-02-10,45.8,-112.51666670000002,315,12D09S,Basin Creek,7180,3.7,4.8,77.0,5.9,6.0,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,2012-02-10,46.4166667,-113.4333333,349,13C13S,Black Pine,7210,8.4,6.7,125.0,9.4,9.1,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,2012-02-10,46.466666700000005,-113.4,410,13C33S,Combination,5600,3.8,3.4,112.0,6.3,6.5,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,2012-02-10,47.05,-112.6,413,12B16S,Copper Bottom,5200,6.4,14.0,91.0,12.8,11.7,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,2012-02-10,47.0833333,-112.73333329999998,414,12B14S,Copper Camp,6950,38.3,14.0,91.0,22.3,23.0,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,2012-02-10,46.8833333,-113.3166667,604,13C38S,Lubrecht Flume,4680,6.3,4.1,154.0,9.8,7.4,132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,2012-02-10,46.85,-112.5,903,12C22S,Nevada Ridge,7020,12.9,9.4,137.0,14.6,11.5,127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,2012-02-10,46.8666667,-113.28333329999998,657,13C31S,N Fk Elk Creek,6250,9.1,7.3,125.0,10.9,9.6,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,2012-02-10,47.2666667,-113.75,667,13B07S,North Fork Jocko,6330,22.9,28.8,80.0,31.5,35.5,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,2012-02-10,46.1333333,-113.3,930,13C36S,Peterson Meadows,7200,5.9,5.8,102.0,8.1,7.5,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,2012-02-10,46.35,-112.26666670000002,722,12C11S,Rocker Peak,8000,9.3,8.7,107.0,9.5,9.1,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,2012-02-10,46.25,-113.76666670000002,760,13C03S,Skalkaho Summit,7250,15.8,14.7,107.0,17.5,15.8,111.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,2012-02-10,47.0,-113.9333333,901,13C01S,Stuart Mountain,7400,21.8,21.9,100.0,23.6,22.8,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,2012-02-10,46.2666667,-113.1666667,850,13C43S,Warm Springs,7800,13.7,13.1,105.0,16.8,15.2,111.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
