,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,43.75,-115.23333329999998,306,15F04S,Atlanta Summit,7580,20.1,20.0,100.0,25.5,22.8,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2011-02-10,44.3,-115.23333329999998,312,15E11S,Banner Summit,7040,17.2,16.8,102.0,20.9,21.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2011-02-10,44.95,-116.15,319,16E11S,Bear Basin,5350,11.6,11.5,101.0,17.9,17.2,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,2011-02-10,44.6,-116.98333329999998,324,16E10S,Bear Saddle,6180,16.4,17.3,95.0,20.5,17.8,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,2011-02-10,44.6333333,-115.8,338,15E02S,Big Creek Summit,6560,22.5,22.5,100.0,26.1,24.9,105.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,2011-02-10,45.05,-116.1333333,370,16D09S,Brundage Reservoir,6250,19.0,18.8,101.0,27.1,25.8,105.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,2011-02-10,44.2833333,-115.65,423,15E08S,Cozy Cove,5400,9.8,10.5,93.0,18.5,17.6,105.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,2011-02-10,44.55,-115.5666667,439,15E04S,Deadwood Summit,6860,27.8,26.2,106.0,28.1,31.0,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,2011-02-10,43.6,-114.6666667,450,14F08S,Dollarhide Summit,8420,14.3,14.0,101.0,17.6,18.1,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,2011-02-10,43.95,-115.26666670000002,496,15F14S,Graham Guard Sta.,5690,8.2,10.1,81.0,17.3,16.1,107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,2011-02-10,44.05,-115.45,550,15E09S,Jackson Peak,7070,17.7,18.9,94.0,25.5,23.0,111.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,2011-02-10,43.9333333,-115.6666667,637,15F01S,Mores Creek Summit,6100,20.9,21.1,99.0,30.3,25.3,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,2011-02-10,43.5,-115.5666667,704,15F06S,Prairie,4800,2.3,4.5,51.0,11.7,10.7,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,2011-02-10,45.1833333,-115.96666670000002,740,15D01S,Secesh Summit,6540,20.5,20.7,99.0,20.0,23.0,87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,2011-02-10,44.7666667,-116.25,782,16E05S,Squaw Flat,6240,12.8,14.0,91.0,22.0,21.2,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,2011-02-10,43.6333333,-115.4333333,830,15F05S,Trinity Mtn.,7770,26.3,25.7,102.0,31.1,27.7,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,2011-02-10,43.8,-114.85,845,14F04S,Vienna Mine,8960,19.2,20.7,93.0,21.0,21.2,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,2011-02-10,45.0666667,-116.45,855,16D08S,West Branch,5560,13.1,15.2,86.0,22.9,21.6,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,2012-02-10,43.75,-115.23333329999998,306,15F04S,Atlanta Summit,7580,18.8,20.0,94.0,23.0,22.8,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,2012-02-10,44.3,-115.23333329999998,312,15E11S,Banner Summit,7040,16.3,16.8,97.0,19.1,21.0,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,2012-02-10,44.95,-116.15,319,16E11S,Bear Basin,5350,10.2,11.5,89.0,13.9,17.2,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,2012-02-10,44.6,-116.98333329999998,324,16E10S,Bear Saddle,6180,12.5,17.3,72.0,14.8,17.8,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,2012-02-10,44.6333333,-115.8,338,15E02S,Big Creek Summit,6560,17.9,22.5,80.0,20.7,24.9,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,2012-02-10,45.05,-116.1333333,370,16D09S,Brundage Reservoir,6250,16.5,18.8,88.0,21.7,25.8,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,2012-02-10,44.2833333,-115.65,423,15E08S,Cozy Cove,5400,10.3,10.5,98.0,15.9,17.6,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,2012-02-10,44.55,-115.5666667,439,15E04S,Deadwood Summit,6860,23.8,26.2,91.0,25.7,31.0,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,2012-02-10,43.6,-114.6666667,450,14F08S,Dollarhide Summit,8420,14.4,14.0,91.0,17.4,18.1,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,2012-02-10,43.95,-115.26666670000002,496,15F14S,Graham Guard Sta.,5690,10.4,10.1,103.0,18.0,16.1,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,2012-02-10,44.05,-115.45,550,15E09S,Jackson Peak,7070,17.4,18.9,92.0,23.3,23.0,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,2012-02-10,43.9333333,-115.6666667,637,15F01S,Mores Creek Summit,6100,19.1,21.1,91.0,25.0,25.3,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,2012-02-10,43.5,-115.5666667,704,15F06S,Prairie,4800,6.7,4.5,149.0,12.9,10.7,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,2012-02-10,45.1833333,-115.96666670000002,740,15D01S,Secesh Summit,6540,18.3,20.7,88.0,13.9,23.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,2012-02-10,44.7666667,-116.25,782,16E05S,Squaw Flat,6240,13.2,14.0,94.0,17.9,21.2,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,2012-02-10,43.6333333,-115.4333333,830,15F05S,Trinity Mtn.,7770,22.5,25.7,88.0,26.9,27.7,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,2012-02-10,43.8,-114.85,845,14F04S,Vienna Mine,8960,21.6,20.7,104.0,22.1,21.2,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,2012-02-10,45.0666667,-116.45,855,16D08S,West Branch,5560,15.5,15.2,102.0,21.6,21.6,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,2013-02-10,43.75,-115.23333329999998,306,15F04S,Atlanta Summit,7580,19.7,20.0,98.0,24.8,22.8,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,2013-02-10,44.3,-115.23333329999998,312,15E11S,Banner Summit,7040,16.6,16.8,99.0,22.7,21.0,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,2013-02-10,44.95,-116.15,319,16E11S,Bear Basin,5350,8.8,11.5,77.0,20.4,17.2,119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,2013-02-10,44.6,-116.98333329999998,324,16E10S,Bear Saddle,6180,12.7,17.3,73.0,19.2,17.8,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,2013-02-10,44.6333333,-115.8,338,15E02S,Big Creek Summit,6560,17.1,22.5,76.0,24.6,24.9,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,2013-02-10,45.05,-116.1333333,370,16D09S,Brundage Reservoir,6250,17.2,18.8,91.0,31.8,25.8,123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,2013-02-10,44.2833333,-115.65,423,15E08S,Cozy Cove,5400,4.9,10.5,47.0,19.4,17.6,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43,2013-02-10,44.55,-115.5666667,439,15E04S,Deadwood Summit,6860,29.6,26.2,113.0,32.4,31.0,105.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,2013-02-10,43.6,-114.6666667,450,14F08S,Dollarhide Summit,8420,15.6,14.0,91.5,18.2,18.1,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,2013-02-10,43.95,-115.26666670000002,496,15F14S,Graham Guard Sta.,5690,3.9,10.1,39.0,15.8,16.1,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46,2013-02-10,44.05,-115.45,550,15E09S,Jackson Peak,7070,13.7,18.9,72.0,21.7,23.0,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47,2013-02-10,43.9333333,-115.6666667,637,15F01S,Mores Creek Summit,6100,10.5,21.1,50.0,20.4,25.3,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48,2013-02-10,43.5,-115.5666667,704,15F06S,Prairie,4800,2.6,4.5,58.0,8.3,10.7,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49,2013-02-10,45.1833333,-115.96666670000002,740,15D01S,Secesh Summit,6540,23.2,20.7,112.0,23.2,23.0,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,2013-02-10,44.7666667,-116.25,782,16E05S,Squaw Flat,6240,11.8,14.0,84.0,30.1,21.2,142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,2013-02-10,43.6333333,-115.4333333,830,15F05S,Trinity Mtn.,7770,21.5,25.7,84.0,24.0,27.7,87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52,2013-02-10,43.8,-114.85,845,14F04S,Vienna Mine,8960,20.2,20.7,98.0,22.4,21.2,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,2013-02-10,45.0666667,-116.45,855,16D08S,West Branch,5560,9.8,15.2,64.0,24.7,21.6,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,2014-02-10,43.75,-115.23333329999998,306,15F04S,Atlanta Summit,7580,16.2,20.0,81.0,15.7,22.8,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55,2014-02-10,44.3,-115.23333329999998,312,15E11S,Banner Summit,7040,13.2,16.8,79.0,14.2,21.0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,2014-02-10,44.95,-116.15,319,16E11S,Bear Basin,5350,7.0,11.5,61.0,8.9,17.2,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,2014-02-10,44.6,-116.98333329999998,324,16E10S,Bear Saddle,6180,7.0,17.3,40.0,7.6,17.8,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58,2014-02-10,44.6333333,-115.8,338,15E02S,Big Creek Summit,6560,15.9,22.5,71.0,16.6,24.9,67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
59,2014-02-10,45.05,-116.1333333,370,16D09S,Brundage Reservoir,6250,18.0,18.8,96.0,17.8,25.8,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,2014-02-10,44.2833333,-115.65,423,15E08S,Cozy Cove,5400,7.1,10.5,68.0,10.5,17.6,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,2014-02-10,44.55,-115.5666667,439,15E04S,Deadwood Summit,6860,19.3,26.2,74.0,18.0,31.0,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,2014-02-10,43.6,-114.6666667,450,14F08S,Dollarhide Summit,8420,14.8,14.0,77.0,10.6,18.1,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,2014-02-10,43.95,-115.26666670000002,496,15F14S,Graham Guard Sta.,5690,8.9,10.1,88.0,14.2,16.1,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,2014-02-10,44.05,-115.45,550,15E09S,Jackson Peak,7070,14.3,18.9,76.0,16.1,23.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,2014-02-10,43.9333333,-115.6666667,637,15F01S,Mores Creek Summit,6100,17.7,21.1,84.0,18.8,25.3,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66,2014-02-10,43.5,-115.5666667,704,15F06S,Prairie,4800,4.2,4.5,93.0,7.9,10.7,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,2014-02-10,45.1833333,-115.96666670000002,740,15D01S,Secesh Summit,6540,14.4,20.7,70.0,12.4,23.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68,2014-02-10,44.7666667,-116.25,782,16E05S,Squaw Flat,6240,8.2,14.0,59.0,10.4,21.2,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,2014-02-10,43.6333333,-115.4333333,830,15F05S,Trinity Mtn.,7770,18.3,25.7,71.0,17.2,27.7,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70,2014-02-10,43.8,-114.85,845,14F04S,Vienna Mine,8960,17.2,20.7,83.0,16.7,21.2,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71,2014-02-10,45.0666667,-116.45,855,16D08S,West Branch,5560,9.7,15.2,64.0,13.4,21.6,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
