,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,47.0166667,-121.46666670000002,418,21B13S,Corral Pass,5800,21.3,24.5,87.0,34.7,33.2,105.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2011-02-10,47.2833333,-121.46666670000002,897,21B59S,Meadows Pass,3230,13.3,17.9,74.0,64.3,56.1,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2011-02-10,47.35,-121.5666667,898,21B21S,Mount Gardner,2920,7.0,13.5,52.0,66.2,58.4,113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2011-02-10,47.3333333,-121.46666670000002,899,21B20S,Tinkham Creek,2990,15.7,21.4,73.0,66.9,61.1,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2011-02-10,47.2833333,-121.6666667,420,21B42S,Cougar Mountain,3200,3.5,12.6,28.0,62.4,53.8,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,2011-02-10,47.3666667,-121.45,672,21B55S,Olallie Meadows,4030,25.4,36.2,70.0,82.5,71.9,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,2011-02-10,48.5166667,-120.73333329999998,711,20A09S,Rainy Pass,4890,23.6,27.0,87.0,31.5,33.5,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,2011-02-10,47.2666667,-121.3333333,788,21B10S,Stampede Pass,3850,16.4,29.5,56.0,52.5,53.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,2011-02-10,48.5333333,-120.98333329999998,817,20A07S,Thunder Basin,4320,19.3,23.9,81.0,43.1,43.5,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,2012-02-10,47.0166667,-121.46666670000002,418,21B13S,Corral Pass,5800,24.8,24.5,101.0,31.7,33.2,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
