,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,43.45,-122.1333333,801,22F14S,Summit Lake,5610,23.1,25.3,91.0,43.8,40.5,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2011-02-10,43.8,-121.95,545,21F21S,Irish Taylor,5540,20.6,24.4,84.0,42.0,38.6,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2011-02-10,43.5833333,-122.0666667,388,22F03S,Cascade Summit,5100,24.6,20.9,118.0,41.1,37.8,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,2011-02-10,43.9,-122.03333329999998,719,22F43S,Roaring River,4950,16.7,19.8,84.0,43.1,39.6,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,2011-02-10,43.6666667,-122.5666667,529,22F42S,Holland Meadows,4930,7.2,15.5,46.0,44.5,42.0,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,2011-02-10,44.216666700000005,-121.8666667,619,21E07S,Mckenzie,4770,26.3,30.3,87.0,58.9,54.5,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,2011-02-10,44.4166667,-121.85,526,21E06S,Hogg Pass,4790,11.5,14.9,77.0,44.4,45.5,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,2011-02-10,43.6166667,-122.1166667,729,22F04S,Salt Creek Falls,4220,14.3,14.1,101.0,46.0,41.2,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,2011-02-10,45.25,-121.73333329999998,655,21D35S,Mud Ridge,4070,12.6,20.6,61.0,41.6,39.9,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,2011-02-10,44.6166667,-122.23333329999998,584,22E09S,Little Meadows,4020,15.5,17.4,89.0,70.7,66.4,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,2011-02-10,45.1833333,-121.6833333,401,21D12S,Clear Lake,3810,4.5,10.6,42.0,25.8,26.5,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,2011-02-10,44.4333333,-121.95,733,21E05S,Santiam Jct.,3740,8.6,13.6,63.0,45.1,43.2,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,2011-02-10,44.5166667,-122.0833333,434,22E08S,Daly Lake,3690,1.9,10.7,18.0,43.1,48.9,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,2011-02-10,44.3833333,-122.1666667,552,22E07S,Jump Off Joe,3520,6.6,9.3,71.0,52.5,47.7,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,2011-02-10,45.0333333,-121.9333333,687,21D14S,Peavine Ridge,3420,5.4,10.8,50.0,40.3,37.8,107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,2011-02-10,45.1,-121.75,398,21D13S,Clackamas Lake,3400,4.5,10.4,43.0,35.0,32.6,107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,2011-02-10,45.55,-123.3666667,726,23D01S,Saddle Mountain,3110,0.0,14.0,101.0,55.7,60.5,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,2011-02-10,43.6666667,-122.21666670000002,710,22F05S,Railroad Overpass,2680,0.0,0.0,101.0,32.8,29.8,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,2011-02-10,44.6,-121.96666670000002,614,21E04S,Marion Forks,2590,0.7,6.7,10.0,48.4,48.4,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,2011-02-10,45.5333333,-123.3,743,23D02S,Seine Creek,2060,0.0,0.0,101.0,40.8,44.7,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,2012-02-10,43.45,-122.1333333,801,22F14S,Summit Lake,5610,19.6,25.3,77.0,32.4,40.5,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,2012-02-10,43.8,-121.95,545,21F21S,Irish Taylor,5540,19.0,24.4,78.0,33.5,38.6,87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,2012-02-10,43.5833333,-122.0666667,388,22F03S,Cascade Summit,5100,15.8,20.9,76.0,31.0,37.8,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,2012-02-10,43.9,-122.03333329999998,719,22F43S,Roaring River,4950,13.1,19.8,66.0,35.1,39.6,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,2012-02-10,43.6666667,-122.5666667,529,22F42S,Holland Meadows,4930,4.2,15.5,27.0,33.2,42.0,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,2012-02-10,44.216666700000005,-121.8666667,619,21E07S,Mckenzie,4770,22.2,30.3,73.0,49.1,54.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,2012-02-10,44.4166667,-121.85,526,21E06S,Hogg Pass,4790,14.7,14.9,99.0,38.7,45.5,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,2012-02-10,43.6166667,-122.1166667,729,22F04S,Salt Creek Falls,4220,6.3,14.1,45.0,36.2,41.2,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,2012-02-10,45.25,-121.73333329999998,655,21D35S,Mud Ridge,4070,17.9,20.6,87.0,44.2,39.9,111.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,2012-02-10,44.6166667,-122.23333329999998,584,22E09S,Little Meadows,4020,14.1,17.4,81.0,62.1,66.4,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,2012-02-10,45.1833333,-121.6833333,401,21D12S,Clear Lake,3810,7.5,10.6,71.0,24.2,26.5,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,2012-02-10,44.4333333,-121.95,733,21E05S,Santiam Jct.,3740,9.4,13.6,69.0,40.9,43.2,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,2012-02-10,44.5166667,-122.0833333,434,22E08S,Daly Lake,3690,6.2,10.7,58.0,37.6,48.9,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,2012-02-10,44.3833333,-122.1666667,552,22E07S,Jump Off Joe,3520,4.1,9.3,44.0,47.4,47.7,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,2012-02-10,45.0333333,-121.9333333,687,21D14S,Peavine Ridge,3420,5.3,10.8,49.0,35.3,37.8,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,2012-02-10,45.1,-121.75,398,21D13S,Clackamas Lake,3400,7.5,10.4,72.0,34.9,32.6,107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,2012-02-10,45.55,-123.3666667,726,23D01S,Saddle Mountain,3110,0.0,14.0,91.0,51.1,60.5,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,2012-02-10,43.6666667,-122.21666670000002,710,22F05S,Railroad Overpass,2680,0.0,0.0,91.0,23.4,29.8,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,2012-02-10,44.6,-121.96666670000002,614,21E04S,Marion Forks,2590,6.6,6.7,99.0,46.6,48.4,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,2012-02-10,45.5333333,-123.3,743,23D02S,Seine Creek,2060,0.0,0.0,91.0,36.9,44.7,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,2013-02-10,43.45,-122.1333333,801,22F14S,Summit Lake,5610,26.2,25.3,104.0,44.6,40.5,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,2013-02-10,43.8,-121.95,545,21F21S,Irish Taylor,5540,21.7,24.4,89.0,38.1,38.6,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
