,yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,big_and_little_lost_basins,big_and_little_wood_basins,bitterroot,chelan_entiat_wenatchee,clearwater_and_salmon,columbia_above_methow,deschutes_crooked_john_day,flathead_river_basin,grand_ronde_powder_burnt_imnaha,henrys_fork_teton_willow_blackfoot_portneuf,idaho_panhandle_region,kootenai_river_in_montana,lewis_cowlitz,lower_clark_fork_river_basin,lower_columbia_hood_river,owyhee_malheur,raft_goose_salmon_falls_bruneau,snake_above_palisades,umatilla_walla_walla_willow,upper_clark_fork_river_basin,weiser_payette_boise,white_green_cedar_skykomish_snoqualmi_baker_skagit,willamette,yakima_ahtanum
0,2011-02-10,46.8166667,-121.3333333,375,21C38S,Bumping Ridge,4610,16.6,18.7,89.0,38.8,37.6,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2011-02-10,47.5333333,-121.0833333,478,21B04S,Fish Lake,3430,16.6,23.3,71.0,37.9,41.0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2011-02-10,46.55,-121.1666667,502,21C10S,Green Lake,5920,12.5,16.0,78.0,19.3,21.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,2011-02-10,47.2833333,-120.48333329999998,507,20B11S,Grouse Camp,5390,11.9,14.0,101.0,19.9,19.1,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2011-02-10,46.35,-121.0833333,599,21C39S,Lost Horse,5120,10.0,14.7,68.0,16.5,20.6,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,2011-02-10,46.9,-121.48333329999998,642,21C17S,Morse Lake,5410,32.5,38.5,84.0,49.5,48.9,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,2011-02-10,47.3833333,-121.0666667,734,21B51S,Sasse Ridge,4340,17.7,24.1,73.0,36.3,37.4,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,2011-02-10,46.6333333,-121.3833333,863,21C28S,White Pass E.S.,4440,12.2,16.9,72.0,31.6,27.2,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,2012-02-10,46.8166667,-121.3333333,375,21C38S,Bumping Ridge,4610,21.5,18.7,115.0,35.4,37.6,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2012-02-10,47.5333333,-121.0833333,478,21B04S,Fish Lake,3430,23.0,23.3,99.0,34.8,41.0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,2012-02-10,46.55,-121.1666667,502,21C10S,Green Lake,5920,19.0,16.0,119.0,20.6,21.5,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,2012-02-10,47.2833333,-120.48333329999998,507,20B11S,Grouse Camp,5390,13.6,14.0,91.0,17.5,19.1,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,2012-02-10,46.35,-121.0833333,599,21C39S,Lost Horse,5120,14.8,14.7,101.0,16.8,20.6,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,2012-02-10,46.9,-121.48333329999998,642,21C17S,Morse Lake,5410,38.2,38.5,99.0,44.8,48.9,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,2012-02-10,47.3833333,-121.0666667,734,21B51S,Sasse Ridge,4340,24.0,24.1,100.0,33.5,37.4,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,2012-02-10,46.6333333,-121.3833333,863,21C28S,White Pass E.S.,4440,19.6,16.9,116.0,27.3,27.2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,2013-02-10,46.8166667,-121.3333333,375,21C38S,Bumping Ridge,4610,18.5,18.7,99.0,36.8,37.6,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,2013-02-10,47.5333333,-121.0833333,478,21B04S,Fish Lake,3430,19.2,23.3,82.0,36.1,41.0,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
