Lat,Long,YYYYMMDD,Basin_name,Station_id,Acton_id,Station_name,Elevation,Wteq_amt,Wteq_med,Wteq_amt_pct_med,Wteq_amt_pct_med_flag,Prec_wytd_amt,Prec_wytd_avg,Prec_wytd_pctavg,Prec_wytd_pct_avg_flag, 
48.5666667,-115.4500000,20170210,"KOOTENAI RIVER IN MONTANA",311,"15A08S","Banfield Mountain","5600",10.7,12.2,88,,22.2,17.8,125,,
48.3000000,-116.0666667,20170210,"KOOTENAI RIVER IN MONTANA",323,"16A08S","Bear Mountain","5400",26.5,38.6,69,,56.4,49.5,114,,
48.9833333,-115.8166667,20170210,"KOOTENAI RIVER IN MONTANA",918,"15A05S","Garver Creek","4250",7.2,6.9,104,,20.1,12.9,156,,
48.9166667,-114.7666667,20170210,"KOOTENAI RIVER IN MONTANA",500,"14A11S","Grave Creek","4300",11.4,11.4,100,,30.4,22.8,133,,
48.3000000,-114.8333333,20170210,"KOOTENAI RIVER IN MONTANA",510,"14A14S","Hand Creek","5035",8.0,7.8,103,,14.8,11.7,126,,
48.9666667,-115.9500000,20170210,"KOOTENAI RIVER IN MONTANA",516,"15A03S","Hawkins Lake","6450",18.7,16.8,111,,30.8,20.9,147,,
48.1333333,-115.6166667,20170210,"KOOTENAI RIVER IN MONTANA",932,"15A12S","Poorman Creek","5100",23.1,23.7,97,,50.4,39.8,127,,
48.9166667,-114.8666667,20170210,"KOOTENAI RIVER IN MONTANA",787,"14A12S","Stahl Peak","6030",28.3,23.2,122,,34.7,26.6,130,,
,,,,"KOOTENAI RIVER IN MONTANA",,,Basin Index (%),"","",95,,"","",129,, 
48.2000000,-114.5166667,20170210,"FLATHEAD RIVER BASIN",1165,"14A19S","Ashley Divide","4820",-999,-998,,-997,12.5,-998,,-997,
48.1333333,-113.0166667,20170210,"FLATHEAD RIVER BASIN",307,"13A15S","Badger Pass","6900",21.9,20.3,108,,25.3,23.2,109,,
47.6833333,-114.0000000,20170210,"FLATHEAD RIVER BASIN",346,"13B25S","Bisson Creek","4920",6.3,6.8,93,,16.0,11.5,139,,
47.9833333,-114.3500000,20170210,"FLATHEAD RIVER BASIN",1144,"14B04S","Blacktail Mtn","5650",8.7,-998,,-997,12.5,-998,,-997,
48.4333333,-113.9333333,20170210,"FLATHEAD RIVER BASIN",469,"13A24S","Emery Creek","4350",9.8,10.4,94,,22.9,17.1,134,,
48.8000000,-113.8500000,20170210,"FLATHEAD RIVER BASIN",482,"13A19S","Flattop Mtn.","6300",30.1,29.7,101,,41.6,33.8,123,,
48.9166667,-114.7666667,20170210,"FLATHEAD RIVER BASIN",500,"14A11S","Grave Creek","4300",11.4,11.4,100,,30.4,22.8,133,,
48.3000000,-114.8333333,20170210,"FLATHEAD RIVER BASIN",510,"14A14S","Hand Creek","5035",8.0,7.8,103,,14.8,11.7,126,,
47.4333333,-113.7833333,20170210,"FLATHEAD RIVER BASIN",562,"13B22S","Kraft Creek","4750",9.3,-998,,-997,21.8,18.7,117,,
48.8000000,-113.6666667,20170210,"FLATHEAD RIVER BASIN",613,"13A27S","Many Glacier","4900",12.2,10.1,121,,29.3,22.3,131,,
47.6833333,-113.9666667,20170210,"FLATHEAD RIVER BASIN",646,"13B24S","Moss Peak","6780",23.7,23.6,100,,31.5,25.4,124,,
48.1500000,-113.9500000,20170210,"FLATHEAD RIVER BASIN",664,"13A25S","Noisy Basin","6040",23.2,26.8,87,,32.9,30.3,109,,
47.2666667,-113.7500000,20170210,"FLATHEAD RIVER BASIN",667,"13B07S","North Fork Jocko","6330",21.7,28.8,75,,36.5,35.5,103,,
48.3000000,-113.3333333,20170210,"FLATHEAD RIVER BASIN",693,"13A26S","Pike Creek","5930",6.8,-998,,-997,28.6,21.2,135,,
47.1833333,-114.3333333,20170210,"FLATHEAD RIVER BASIN",783,"14B05S","Sleeping Woman","6150",11.4,10.1,113,,21.7,14.7,148,,
48.9166667,-114.8666667,20170210,"FLATHEAD RIVER BASIN",787,"14A12S","Stahl Peak","6030",28.3,23.2,122,,34.7,26.6,130,,
47.0000000,-113.9333333,20170210,"FLATHEAD RIVER BASIN",901,"13C01S","Stuart Mountain","7400",20.2,21.9,92,,26.1,22.8,114,,
,,,,"FLATHEAD RIVER BASIN",,,Basin Index (%),"","",99,,"","",123,, 
46.1000000,-113.1333333,20170210,"UPPER CLARK FORK RIVER BASIN",313,"13C44S","Barker Lakes","8250",6.5,8.6,76,,8.5,10.5,81,,
45.8000000,-112.5166667,20170210,"UPPER CLARK FORK RIVER BASIN",315,"12D09S","Basin Creek","7180",3.5,4.8,73,,5.8,6.0,97,,
46.4166667,-113.4333333,20170210,"UPPER CLARK FORK RIVER BASIN",349,"13C13S","Black Pine","7210",8.0,6.7,119,,9.5,9.1,104,,
46.4666667,-113.4000000,20170210,"UPPER CLARK FORK RIVER BASIN",410,"13C33S","Combination","5600",4.3,3.4,126,,7.6,6.5,117,,
47.0500000,-112.6000000,20170210,"UPPER CLARK FORK RIVER BASIN",413,"12B16S","Copper Bottom","5200",8.0,-998,,-997,15.6,11.7,133,,
47.0833333,-112.7333333,20170210,"UPPER CLARK FORK RIVER BASIN",414,"12B14S","Copper Camp","6950",21.6,-998,,-997,20.9,23.0,91,,
46.8833333,-113.3166667,20170210,"UPPER CLARK FORK RIVER BASIN",604,"13C38S","Lubrecht Flume","4680",4.8,4.1,117,,9.4,7.4,127,,
46.8500000,-112.5000000,20170210,"UPPER CLARK FORK RIVER BASIN",903,"12C22S","Nevada Ridge","7020",10.5,9.4,112,,13.5,11.5,117,,
46.8666667,-113.2833333,20170210,"UPPER CLARK FORK RIVER BASIN",657,"13C31S","N Fk Elk Creek","6250",6.1,7.3,84,,10.3,9.6,107,,
47.2666667,-113.7500000,20170210,"UPPER CLARK FORK RIVER BASIN",667,"13B07S","North Fork Jocko","6330",21.7,28.8,75,,36.5,35.5,103,,
