# --------------------------- WARNING ------------------------------
# The data you have obtained are provisional and subject to revision.
#
# Contact your state water supply staff for assistance
# http://www.wcc.nrcs.usda.gov/partnerships/links_wsfs.html
#
# United States Department of Agriculture
# Natural Resources Conservation Service
# National Water and Climate Center
# Portland Oregon
#
# S N O W  P R E C I P I T A T I O N   U P D A T E
#
# This report is based on mountain data from USDA-NRCS SNOTEL Sites
# Data are based on the first reading of the day (typically 00:00)
# Thursday: February 10 1994
# 
# Medians and averages are calculated for the period 1981-2010.
#
# retrieved: Wednesday: February 10 2021 PDT
#
# This file contains the Columbia River Basin SNOTEL Snow and Precipitation Update Report
#
# This file contains a list of stations and basin summaries of hydrologic conditions.
# The fields are comma delimited and the first line after this header describes the contents of each column:
#
#    column                             column definition
#    -------------------------          -------------------------------------
#  1 Lat                                decimal latitude
#  2 Long                               decimal longitude w/negative sign
#  3 YYYYMMDD                           date of observation
#  4 Basin_name                         state sub-basin name
#  5 Station_id                         Snotel system identification code
#  6 Acton_id                           Snow Survey Program ACTON code
#  7 Station_name                       station name
#  8 Elevation                          elevation (feet)
#  9 Wteq_amt                           current snow water equivalent (inches)
# 10 Wteq_med                           snow water equivalent Median (inches)
# 11 Wteq_amt_pct_med                   current snow water equivalent as percent of Median
# 12 Wteq_amt_pct_med_flag              snow water equivalent validity code
# 13 Prec_wytd_amt                      water year to date precipitation (inches)
# 14 Prec_wytd_avg                      water year to date precipitation Average (inches)
# 15 Prec_wytd_pctavg                   water year to date precipitation as percent of Average
# 16 Prec_wytd_pct_avg_flag             water year to date precipitation validty code
#
# Data-value qualification codes included in this output:
#  -997 Data may not provide a valid measure of conditions
#         If the current swe data value is > 0 and the Median is 0 then the percent of Median flag = -997
#         If either the current data value or the Median is missing then the percent of Median cell will be blank and the percent of Median flag will be -997
#         If the current swe value is < 10% of the Median peak swe then the percent of Median flag = -997
#         If over 1/2 of the stations for a basin report missing or invalid data then the percent of Median flag = -997
#  -998 No Normal available
#  -999 Missing data
#         If the current data value is missing then the current data value = -999
#         If the current precipitation is negative then the current precipitation value = -999
#         If the current swe is < -1 then the current swe value = -999
#         If over 1/2 of the stations for a basin are missing then the percent of Average cell is blank
#
# If the Basin Index (%) for comparison value is flagged as potentially invalid
# care should be taken to evaluate if the value is representative of conditions in the basin.
#
# The SNOW WATER EQUIVALENT percent of Median represents the snow water
# equivalent found at selected SNOTEL sites in or near the basin compared
# to the Median value for those sites on this day.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
# The TOTAL PRECIPITATION percent of Average represents the total,,,,,,,,,,,,,,,,
# precipitation (beginning October 1st) found at selected SNOTEL sites in,,,,,,,,,,,,,,,,
# or near the basin compared to the Average value for those sites on this day.,,,,,,,,,,,,,,,,
# Site -- Either: (a) the current value is missing; 
#(b) the median or average for the day is not available or is zero; or 
#(c) for snow water equivalent the median for the day is less than 10% of the maximum median value for  the year.
# Basin - More than half of the sites within the basin are flagged with * preventing the 
#calculation of a meaningful basin index.
The basin index is calculated as the sum of the valid current values 
divided by the sum of the corresponding medians (for snow water equivalent)
or averages (for precipitation) and the resulting fraction multiplied by 100.
##########################################################################,,,,,,,,,,,,,
Lat,Long,YYYYMMDD,Basin_name,Station_id,Acton_id,Station_name,Elevation,Wteq_amt,Wteq_med,Wteq_amt_pct_med,Wteq_amt_pct_med_flag,Prec_wytd_amt,Prec_wytd_avg,Prec_wytd_pctavg,Prec_wytd_pct_avg_flag, 
48.5666667,-115.4500000,19940210,"KOOTENAI RIVER IN MONTANA",311,"15A08S","Banfield Mountain","5600",8.7,12.2,71,,10.3,17.8,58,,
48.3000000,-116.0666667,19940210,"KOOTENAI RIVER IN MONTANA",323,"16A08S","Bear Mountain","5400",22.6,38.6,59,,25.3,49.5,51,,
48.9833333,-115.8166667,19940210,"KOOTENAI RIVER IN MONTANA",918,"15A05S","Garver Creek","4250",6.9,6.9,100,,-999,12.9,,-997,
48.9166667,-114.7666667,19940210,"KOOTENAI RIVER IN MONTANA",500,"14A11S","Grave Creek","4300",10.8,11.4,95,,14.5,22.8,64,,
48.3000000,-114.8333333,19940210,"KOOTENAI RIVER IN MONTANA",510,"14A14S","Hand Creek","5035",5.9,7.8,76,,8.5,11.7,73,,
48.9666667,-115.9500000,19940210,"KOOTENAI RIVER IN MONTANA",516,"15A03S","Hawkins Lake","6450",10.9,16.8,65,,12.1,20.9,58,,
48.1333333,-115.6166667,19940210,"KOOTENAI RIVER IN MONTANA",932,"15A12S","Poorman Creek","5100",-999,23.7,,-997,-999,39.8,,-997,
48.9166667,-114.8666667,19940210,"KOOTENAI RIVER IN MONTANA",787,"14A12S","Stahl Peak","6030",18.7,23.2,81,,19.3,26.6,73,,
,,,,"KOOTENAI RIVER IN MONTANA",,,Basin Index (%),"","",72,,"","",60,, 
48.2000000,-114.5166667,19940210,"FLATHEAD RIVER BASIN",1165,"14A19S","Ashley Divide","4820",-999,-998,,-997,-999,-998,,-997,
48.1333333,-113.0166667,19940210,"FLATHEAD RIVER BASIN",307,"13A15S","Badger Pass","6900",17.2,20.3,85,,20.7,23.2,89,,
47.6833333,-114.0000000,19940210,"FLATHEAD RIVER BASIN",346,"13B25S","Bisson Creek","4920",5.2,6.8,76,,9.0,11.5,78,,
47.9833333,-114.3500000,19940210,"FLATHEAD RIVER BASIN",1144,"14B04S","Blacktail Mtn","5650",-999,-998,,-997,-999,-998,,-997,
48.4333333,-113.9333333,19940210,"FLATHEAD RIVER BASIN",469,"13A24S","Emery Creek","4350",10.7,10.4,103,,12.2,17.1,71,,
48.8000000,-113.8500000,19940210,"FLATHEAD RIVER BASIN",482,"13A19S","Flattop Mtn.","6300",26.4,29.7,89,,28.5,33.8,84,,
48.9166667,-114.7666667,19940210,"FLATHEAD RIVER BASIN",500,"14A11S","Grave Creek","4300",10.8,11.4,95,,14.5,22.8,64,,
48.3000000,-114.8333333,19940210,"FLATHEAD RIVER BASIN",510,"14A14S","Hand Creek","5035",5.9,7.8,76,,8.5,11.7,73,,
47.4333333,-113.7833333,19940210,"FLATHEAD RIVER BASIN",562,"13B22S","Kraft Creek","4750",10.0,-998,,-997,15.1,18.7,81,,
48.8000000,-113.6666667,19940210,"FLATHEAD RIVER BASIN",613,"13A27S","Many Glacier","4900",11.3,10.1,112,,15.9,22.3,71,,
47.6833333,-113.9666667,19940210,"FLATHEAD RIVER BASIN",646,"13B24S","Moss Peak","6780",18.5,23.6,78,,18.9,25.4,74,,
48.1500000,-113.9500000,19940210,"FLATHEAD RIVER BASIN",664,"13A25S","Noisy Basin","6040",22.6,26.8,84,,24.1,30.3,80,,
47.2666667,-113.7500000,19940210,"FLATHEAD RIVER BASIN",667,"13B07S","North Fork Jocko","6330",22.5,28.8,78,,25.6,35.5,72,,
48.3000000,-113.3333333,19940210,"FLATHEAD RIVER BASIN",693,"13A26S","Pike Creek","5930",14.8,-998,,-997,15.8,21.2,75,,
47.1833333,-114.3333333,19940210,"FLATHEAD RIVER BASIN",783,"14B05S","Sleeping Woman","6150",7.9,10.1,78,,11.5,14.7,78,,
48.9166667,-114.8666667,19940210,"FLATHEAD RIVER BASIN",787,"14A12S","Stahl Peak","6030",18.7,23.2,81,,19.3,26.6,73,,
47.0000000,-113.9333333,19940210,"FLATHEAD RIVER BASIN",901,"13C01S","Stuart Mountain","7400",-999,21.9,,-997,-999,22.8,,-997,
,,,,"FLATHEAD RIVER BASIN",,,Basin Index (%),"","",85,,"","",76,, 
46.1000000,-113.1333333,19940210,"UPPER CLARK FORK RIVER BASIN",313,"13C44S","Barker Lakes","8250",7.0,8.6,81,,8.4,10.5,80,,
45.8000000,-112.5166667,19940210,"UPPER CLARK FORK RIVER BASIN",315,"12D09S","Basin Creek","7180",4.4,4.8,92,,4.7,6.0,78,,
46.4166667,-113.4333333,19940210,"UPPER CLARK FORK RIVER BASIN",349,"13C13S","Black Pine","7210",6.5,6.7,97,,9.1,9.1,100,,
46.4666667,-113.4000000,19940210,"UPPER CLARK FORK RIVER BASIN",410,"13C33S","Combination","5600",2.3,3.4,68,,4.1,6.5,63,,
47.0500000,-112.6000000,19940210,"UPPER CLARK FORK RIVER BASIN",413,"12B16S","Copper Bottom","5200",7.3,-998,,-997,8.4,11.7,72,,
47.0833333,-112.7333333,19940210,"UPPER CLARK FORK RIVER BASIN",414,"12B14S","Copper Camp","6950",12.4,-998,,-997,14.7,23.0,64,,
46.8833333,-113.3166667,19940210,"UPPER CLARK FORK RIVER BASIN",604,"13C38S","Lubrecht Flume","4680",3.3,4.1,80,,4.5,7.4,61,,
46.8500000,-112.5000000,19940210,"UPPER CLARK FORK RIVER BASIN",903,"12C22S","Nevada Ridge","7020",-999,9.4,,-997,-999,11.5,,-997,
46.8666667,-113.2833333,19940210,"UPPER CLARK FORK RIVER BASIN",657,"13C31S","N Fk Elk Creek","6250",5.4,7.3,74,,6.7,9.6,70,,
47.2666667,-113.7500000,19940210,"UPPER CLARK FORK RIVER BASIN",667,"13B07S","North Fork Jocko","6330",22.5,28.8,78,,25.6,35.5,72,,
46.1333333,-113.3000000,19940210,"UPPER CLARK FORK RIVER BASIN",930,"13C36S","Peterson Meadows","7200",4.1,5.8,71,,-999,7.5,,-997,
46.3500000,-112.2666667,19940210,"UPPER CLARK FORK RIVER BASIN",722,"12C11S","Rocker Peak","8000",7.0,8.7,80,,7.3,9.1,80,,
46.2500000,-113.7666667,19940210,"UPPER CLARK FORK RIVER BASIN",760,"13C03S","Skalkaho Summit","7250",8.7,14.7,59,,9.7,15.8,61,,
47.0000000,-113.9333333,19940210,"UPPER CLARK FORK RIVER BASIN",901,"13C01S","Stuart Mountain","7400",-999,21.9,,-997,-999,22.8,,-997,
46.2666667,-113.1666667,19940210,"UPPER CLARK FORK RIVER BASIN",850,"13C43S","Warm Springs","7800",9.3,13.1,71,,11.9,15.2,78,,
,,,,"UPPER CLARK FORK RIVER BASIN",,,Basin Index (%),"","",76,,"","",72,, 
46.1833333,-113.8500000,19940210,"BITTERROOT",433,"13C39S","Daly Creek","5780",5.1,7.0,73,,6.8,9.7,70,,
46.6333333,-114.5833333,19940210,"BITTERROOT",588,"14C05S","Lolo Pass","5240",12.6,19.3,65,,15.4,24.5,63,,
45.6666667,-113.9500000,19940210,"BITTERROOT",638,"13D16S","Moose Creek","6200",7.7,11.9,65,,9.1,14.5,63,,
45.7333333,-114.4833333,19940210,"BITTERROOT",662,"14D02S","Nez Perce Camp","5650",7.5,9.2,82,,9.4,14.4,65,,
45.7000000,-113.9666667,19940210,"BITTERROOT",727,"13D22S","Saddle Mtn.","7940",10.7,16.6,64,,9.5,16.3,58,,
46.2500000,-113.7666667,19940210,"BITTERROOT",760,"13C03S","Skalkaho Summit","7250",8.7,14.7,59,,9.7,15.8,61,,
46.1500000,-114.4500000,19940210,"BITTERROOT",835,"14C13S","Twelvemile Creek","5600",9.8,11.9,82,,15.3,22.9,67,,
46.1500000,-114.5000000,19940210,"BITTERROOT",836,"14C12S","Twin Lakes","6400",18.3,26.0,70,,21.4,31.9,67,,
,,,,"BITTERROOT",,,Basin Index (%),"","",69,,"","",64,, 
46.9833333,-115.0333333,19940210,"LOWER CLARK FORK RIVER BASIN",530,"15C10S","Hoodoo Basin","6050",18.0,27.3,66,,20.8,33.4,62,,
47.5333333,-115.7833333,19940210,"LOWER CLARK FORK RIVER BASIN",535,"15B21S","Humboldt Gulch","4250",6.7,8.9,75,,15.7,26.6,59,,
