# --------------------------- WARNING ------------------------------
# The data you have obtained are provisional and subject to revision.
#
# Contact your state water supply staff for assistance
# http://www.wcc.nrcs.usda.gov/partnerships/links_wsfs.html
#
# United States Department of Agriculture
# Natural Resources Conservation Service
# National Water and Climate Center
# Portland Oregon
#
# S N O W  P R E C I P I T A T I O N   U P D A T E
#
# This report is based on mountain data from USDA-NRCS SNOTEL Sites
# Data are based on the first reading of the day (typically 00:00)
# Tuesday: February 10 1998
# 
# Medians and averages are calculated for the period 1981-2010.
#
# retrieved: Wednesday: February 10 2021 PDT
#
# This file contains the Columbia River Basin SNOTEL Snow and Precipitation Update Report
#
# This file contains a list of stations and basin summaries of hydrologic conditions.
# The fields are comma delimited and the first line after this header describes the contents of each column:
#
#    column                             column definition
#    -------------------------          -------------------------------------
#  1 Lat                                decimal latitude
#  2 Long                               decimal longitude w/negative sign
#  3 YYYYMMDD                           date of observation
#  4 Basin_name                         state sub-basin name
#  5 Station_id                         Snotel system identification code
#  6 Acton_id                           Snow Survey Program ACTON code
#  7 Station_name                       station name
#  8 Elevation                          elevation (feet)
#  9 Wteq_amt                           current snow water equivalent (inches)
# 10 Wteq_med                           snow water equivalent Median (inches)
# 11 Wteq_amt_pct_med                   current snow water equivalent as percent of Median
# 12 Wteq_amt_pct_med_flag              snow water equivalent validity code
# 13 Prec_wytd_amt                      water year to date precipitation (inches)
# 14 Prec_wytd_avg                      water year to date precipitation Average (inches)
# 15 Prec_wytd_pctavg                   water year to date precipitation as percent of Average
# 16 Prec_wytd_pct_avg_flag             water year to date precipitation validty code
#
# Data-value qualification codes included in this output:
#  -997 Data may not provide a valid measure of conditions
#         If the current swe data value is > 0 and the Median is 0 then the percent of Median flag = -997
#         If either the current data value or the Median is missing then the percent of Median cell will be blank and the percent of Median flag will be -997
#         If the current swe value is < 10% of the Median peak swe then the percent of Median flag = -997
#         If over 1/2 of the stations for a basin report missing or invalid data then the percent of Median flag = -997
#  -998 No Normal available
#  -999 Missing data
#         If the current data value is missing then the current data value = -999
#         If the current precipitation is negative then the current precipitation value = -999
#         If the current swe is < -1 then the current swe value = -999
#         If over 1/2 of the stations for a basin are missing then the percent of Average cell is blank
#
# If the Basin Index (%) for comparison value is flagged as potentially invalid
# care should be taken to evaluate if the value is representative of conditions in the basin.
#
# The SNOW WATER EQUIVALENT percent of Median represents the snow water
# equivalent found at selected SNOTEL sites in or near the basin compared
# to the Median value for those sites on this day.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
# The TOTAL PRECIPITATION percent of Average represents the total,,,,,,,,,,,,,,,,
# precipitation (beginning October 1st) found at selected SNOTEL sites in,,,,,,,,,,,,,,,,
# or near the basin compared to the Average value for those sites on this day.,,,,,,,,,,,,,,,,
# Site -- Either: (a) the current value is missing; 
#(b) the median or average for the day is not available or is zero; or 
#(c) for snow water equivalent the median for the day is less than 10% of the maximum median value for  the year.
# Basin - More than half of the sites within the basin are flagged with * preventing the 
#calculation of a meaningful basin index.
The basin index is calculated as the sum of the valid current values 
divided by the sum of the corresponding medians (for snow water equivalent)
or averages (for precipitation) and the resulting fraction multiplied by 100.
##########################################################################,,,,,,,,,,,,,
Lat,Long,YYYYMMDD,Basin_name,Station_id,Acton_id,Station_name,Elevation,Wteq_amt,Wteq_med,Wteq_amt_pct_med,Wteq_amt_pct_med_flag,Prec_wytd_amt,Prec_wytd_avg,Prec_wytd_pctavg,Prec_wytd_pct_avg_flag, 
48.5666667,-115.4500000,19980210,"KOOTENAI RIVER IN MONTANA",311,"15A08S","Banfield Mountain","5600",10.3,12.2,84,,13.8,17.8,78,,
48.3000000,-116.0666667,19980210,"KOOTENAI RIVER IN MONTANA",323,"16A08S","Bear Mountain","5400",35.2,38.6,91,,44.7,49.5,90,,
48.9833333,-115.8166667,19980210,"KOOTENAI RIVER IN MONTANA",918,"15A05S","Garver Creek","4250",7.9,6.9,114,,8.7,12.9,67,,
48.9166667,-114.7666667,19980210,"KOOTENAI RIVER IN MONTANA",500,"14A11S","Grave Creek","4300",11.1,11.4,97,,18.9,22.8,83,,
48.3000000,-114.8333333,19980210,"KOOTENAI RIVER IN MONTANA",510,"14A14S","Hand Creek","5035",6.0,7.8,77,,8.0,11.7,68,,
48.9666667,-115.9500000,19980210,"KOOTENAI RIVER IN MONTANA",516,"15A03S","Hawkins Lake","6450",12.9,16.8,77,,16.0,20.9,77,,
48.1333333,-115.6166667,19980210,"KOOTENAI RIVER IN MONTANA",932,"15A12S","Poorman Creek","5100",-999,23.7,,-997,-999,39.8,,-997,
48.9166667,-114.8666667,19980210,"KOOTENAI RIVER IN MONTANA",787,"14A12S","Stahl Peak","6030",23.3,23.2,100,,24.6,26.6,92,,
,,,,"KOOTENAI RIVER IN MONTANA",,,Basin Index (%),"","",91,,"","",83,, 
48.2000000,-114.5166667,19980210,"FLATHEAD RIVER BASIN",1165,"14A19S","Ashley Divide","4820",-999,-998,,-997,-999,-998,,-997,
48.1333333,-113.0166667,19980210,"FLATHEAD RIVER BASIN",307,"13A15S","Badger Pass","6900",17.3,20.3,85,,18.1,23.2,78,,
47.6833333,-114.0000000,19980210,"FLATHEAD RIVER BASIN",346,"13B25S","Bisson Creek","4920",5.5,6.8,81,,8.1,11.5,70,,
47.9833333,-114.3500000,19980210,"FLATHEAD RIVER BASIN",1144,"14B04S","Blacktail Mtn","5650",-999,-998,,-997,-999,-998,,-997,
48.4333333,-113.9333333,19980210,"FLATHEAD RIVER BASIN",469,"13A24S","Emery Creek","4350",7.9,10.4,76,,11.1,17.1,65,,
48.8000000,-113.8500000,19980210,"FLATHEAD RIVER BASIN",482,"13A19S","Flattop Mtn.","6300",27.4,29.7,92,,29.3,33.8,87,,
48.9166667,-114.7666667,19980210,"FLATHEAD RIVER BASIN",500,"14A11S","Grave Creek","4300",11.1,11.4,97,,18.9,22.8,83,,
48.3000000,-114.8333333,19980210,"FLATHEAD RIVER BASIN",510,"14A14S","Hand Creek","5035",6.0,7.8,77,,8.0,11.7,68,,
47.4333333,-113.7833333,19980210,"FLATHEAD RIVER BASIN",562,"13B22S","Kraft Creek","4750",8.7,-998,,-997,14.5,18.7,78,,
48.8000000,-113.6666667,19980210,"FLATHEAD RIVER BASIN",613,"13A27S","Many Glacier","4900",9.2,10.1,91,,17.5,22.3,78,,
47.6833333,-113.9666667,19980210,"FLATHEAD RIVER BASIN",646,"13B24S","Moss Peak","6780",21.0,23.6,89,,18.3,25.4,72,,
48.1500000,-113.9500000,19980210,"FLATHEAD RIVER BASIN",664,"13A25S","Noisy Basin","6040",23.2,26.8,87,,23.9,30.3,79,,
47.2666667,-113.7500000,19980210,"FLATHEAD RIVER BASIN",667,"13B07S","North Fork Jocko","6330",25.4,28.8,88,,27.8,35.5,78,,
48.3000000,-113.3333333,19980210,"FLATHEAD RIVER BASIN",693,"13A26S","Pike Creek","5930",13.5,-998,,-997,16.1,21.2,76,,
47.1833333,-114.3333333,19980210,"FLATHEAD RIVER BASIN",783,"14B05S","Sleeping Woman","6150",8.1,10.1,80,,11.8,14.7,80,,
48.9166667,-114.8666667,19980210,"FLATHEAD RIVER BASIN",787,"14A12S","Stahl Peak","6030",23.3,23.2,100,,24.6,26.6,92,,
47.0000000,-113.9333333,19980210,"FLATHEAD RIVER BASIN",901,"13C01S","Stuart Mountain","7400",16.8,21.9,77,,16.4,22.8,72,,
,,,,"FLATHEAD RIVER BASIN",,,Basin Index (%),"","",88,,"","",78,, 
46.1000000,-113.1333333,19980210,"UPPER CLARK FORK RIVER BASIN",313,"13C44S","Barker Lakes","8250",8.1,8.6,94,,8.9,10.5,85,,
45.8000000,-112.5166667,19980210,"UPPER CLARK FORK RIVER BASIN",315,"12D09S","Basin Creek","7180",6.5,4.8,135,,6.7,6.0,112,,
46.4166667,-113.4333333,19980210,"UPPER CLARK FORK RIVER BASIN",349,"13C13S","Black Pine","7210",5.9,6.7,88,,8.1,9.1,89,,
46.4666667,-113.4000000,19980210,"UPPER CLARK FORK RIVER BASIN",410,"13C33S","Combination","5600",3.3,3.4,97,,5.6,6.5,86,,
47.0500000,-112.6000000,19980210,"UPPER CLARK FORK RIVER BASIN",413,"12B16S","Copper Bottom","5200",4.8,-998,,-997,6.5,11.7,56,,
47.0833333,-112.7333333,19980210,"UPPER CLARK FORK RIVER BASIN",414,"12B14S","Copper Camp","6950",14.6,-998,,-997,17.8,23.0,77,,
46.8833333,-113.3166667,19980210,"UPPER CLARK FORK RIVER BASIN",604,"13C38S","Lubrecht Flume","4680",3.7,4.1,90,,5.0,7.4,68,,
46.8500000,-112.5000000,19980210,"UPPER CLARK FORK RIVER BASIN",903,"12C22S","Nevada Ridge","7020",8.1,9.4,86,,8.7,11.5,76,,
46.8666667,-113.2833333,19980210,"UPPER CLARK FORK RIVER BASIN",657,"13C31S","N Fk Elk Creek","6250",6.0,7.3,82,,7.6,9.6,79,,
47.2666667,-113.7500000,19980210,"UPPER CLARK FORK RIVER BASIN",667,"13B07S","North Fork Jocko","6330",25.4,28.8,88,,27.8,35.5,78,,
46.1333333,-113.3000000,19980210,"UPPER CLARK FORK RIVER BASIN",930,"13C36S","Peterson Meadows","7200",6.6,5.8,114,,-999,7.5,,-997,
46.3500000,-112.2666667,19980210,"UPPER CLARK FORK RIVER BASIN",722,"12C11S","Rocker Peak","8000",9.2,8.7,106,,8.4,9.1,92,,
46.2500000,-113.7666667,19980210,"UPPER CLARK FORK RIVER BASIN",760,"13C03S","Skalkaho Summit","7250",14.4,14.7,98,,15.6,15.8,99,,
47.0000000,-113.9333333,19980210,"UPPER CLARK FORK RIVER BASIN",901,"13C01S","Stuart Mountain","7400",16.8,21.9,77,,16.4,22.8,72,,
46.2666667,-113.1666667,19980210,"UPPER CLARK FORK RIVER BASIN",850,"13C43S","Warm Springs","7800",13.1,13.1,100,,14.8,15.2,97,,
,,,,"UPPER CLARK FORK RIVER BASIN",,,Basin Index (%),"","",93,,"","",82,, 
46.1833333,-113.8500000,19980210,"BITTERROOT",433,"13C39S","Daly Creek","5780",7.5,7.0,107,,9.1,9.7,94,,
46.6333333,-114.5833333,19980210,"BITTERROOT",588,"14C05S","Lolo Pass","5240",16.8,19.3,87,,22.0,24.5,90,,
45.6666667,-113.9500000,19980210,"BITTERROOT",638,"13D16S","Moose Creek","6200",10.6,11.9,89,,13.3,14.5,92,,
45.7333333,-114.4833333,19980210,"BITTERROOT",662,"14D02S","Nez Perce Camp","5650",8.5,9.2,92,,13.3,14.4,92,,
45.7000000,-113.9666667,19980210,"BITTERROOT",727,"13D22S","Saddle Mtn.","7940",16.3,16.6,98,,14.7,16.3,90,,
46.2500000,-113.7666667,19980210,"BITTERROOT",760,"13C03S","Skalkaho Summit","7250",14.4,14.7,98,,15.6,15.8,99,,
46.1500000,-114.4500000,19980210,"BITTERROOT",835,"14C13S","Twelvemile Creek","5600",11.8,11.9,99,,21.4,22.9,93,,
