yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,BIG AND LITTLE LOST BASINS,BIG AND LITTLE WOOD BASINS,BITTERROOT,"CHELAN, ENTIAT, WENATCHEE",CLEARWATER AND SALMON,COLUMBIA ABOVE METHOW,"DESCHUTES, CROOKED, JOHN DAY",FLATHEAD RIVER BASIN,"GRAND RONDE, POWDER, BURNT, IMNAHA","HENRYS FORK, TETON, WILLOW, BLACKFOOT, PORTNEUF",IDAHO PANHANDLE REGION,KOOTENAI RIVER IN MONTANA,"LEWIS, COWLITZ",LOWER CLARK FORK RIVER BASIN,"LOWER COLUMBIA, HOOD RIVER",OWYHEE MALHEUR,"RAFT, GOOSE, SALMON FALLS, BRUNEAU",SNAKE ABOVE PALISADES,"UMATILLA, WALLA WALLA, WILLOW",UPPER CLARK FORK RIVER BASIN,"WEISER, PAYETTE, BOISE","WHITE, GREEN, CEDAR, SKYKOMISH, SNOQUALMI, BAKER, SKAGIT",WILLAMETTE,"YAKIMA, AHTANUM"
2011-02-10,48.5666667,-115.45,311,15A08S,Banfield Mountain,5600,12.1,12.2,99.0,17.5,17.8,98.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.3,-116.06666670000001,323,16A08S,Bear Mountain,5400,37.4,38.6,97.0,54.2,49.5,109.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.9833333,-115.81666670000001,918,15A05S,Garver Creek,4250,7.7,6.9,112.0,12.2,12.9,95.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.9166667,-114.76666670000002,500,14A11S,Grave Creek,4300,13.1,11.4,115.0,18.6,22.8,82.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.3,-114.83333329999999,510,14A14S,Hand Creek,5035,9.6,7.8,123.0,14.7,11.7,126.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.966666700000005,-115.95,516,15A03S,Hawkins Lake,6450,18.5,16.8,110.0,22.2,20.9,106.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.1333333,-115.61666670000001,932,15A12S,Poorman Creek,5100,32.2,23.7,136.0,47.8,39.8,120.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.9166667,-114.86666670000001,787,14A12S,Stahl Peak,6030,31.4,23.2,135.0,34.4,26.6,129.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.1333333,-113.01666670000002,307,13A15S,Badger Pass,6900,24.7,20.3,122.0,24.4,23.2,105.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.6833333,-114.0,346,13B25S,Bisson Creek,4920,12.3,6.8,181.0,20.1,11.5,175.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.4333333,-113.93333329999999,469,13A24S,Emery Creek,4350,14.5,10.4,139.0,22.7,17.1,133.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.8,-113.85,482,13A19S,Flattop Mtn.,6300,36.0,29.7,121.0,40.3,33.8,119.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.9166667,-114.76666670000002,500,14A11S,Grave Creek,4300,13.1,11.4,115.0,18.6,22.8,82.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.3,-114.83333329999999,510,14A14S,Hand Creek,5035,9.6,7.8,123.0,14.7,11.7,126.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.4333333,-113.78333329999998,562,13B22S,Kraft Creek,4750,12.8,14.0,101.0,26.1,18.7,140.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.8,-113.66666670000001,613,13A27S,Many Glacier,4900,14.7,10.1,146.0,23.1,22.3,104.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.6833333,-113.96666670000002,646,13B24S,Moss Peak,6780,39.1,23.6,166.0,37.6,25.4,148.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.15,-113.95,664,13A25S,Noisy Basin,6040,47.4,26.8,177.0,46.8,30.3,154.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.2666667,-113.75,667,13B07S,North Fork Jocko,6330,41.0,28.8,142.0,45.2,35.5,127.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.3,-113.33333329999999,693,13A26S,Pike Creek,5930,12.5,14.0,101.0,24.9,21.2,117.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.1833333,-114.33333329999999,783,14B05S,Sleeping Woman,6150,14.6,10.1,145.0,18.1,14.7,123.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,48.9166667,-114.86666670000001,787,14A12S,Stahl Peak,6030,31.4,23.2,135.0,34.4,26.6,129.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,47.0,-113.93333329999999,901,13C01S,Stuart Mountain,7400,33.5,21.9,153.0,33.0,22.8,145.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,46.1,-113.13333329999999,313,13C44S,Barker Lakes,8250,9.8,8.6,114.0,11.6,10.5,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,45.8,-112.51666670000002,315,12D09S,Basin Creek,7180,5.5,4.8,115.0,7.0,6.0,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,46.4166667,-113.43333329999999,349,13C13S,Black Pine,7210,10.4,6.7,155.0,11.8,9.1,130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,46.466666700000005,-113.4,410,13C33S,Combination,5600,4.1,3.4,121.0,7.9,6.5,122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,47.05,-112.6,413,12B16S,Copper Bottom,5200,6.2,14.0,101.0,12.9,11.7,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,47.0833333,-112.73333329999998,414,12B14S,Copper Camp,6950,40.4,14.0,101.0,22.6,23.0,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,46.8833333,-113.31666670000001,604,13C38S,Lubrecht Flume,4680,5.9,4.1,144.0,9.6,7.4,130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,46.85,-112.5,903,12C22S,Nevada Ridge,7020,13.3,9.4,141.0,14.8,11.5,129.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,46.8666667,-113.28333329999998,657,13C31S,N Fk Elk Creek,6250,11.7,7.3,160.0,12.7,9.6,132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-02-10,47.2666667,-113.75,667,13B07S,North Fork Jocko,6330,41.0,28.8,142.0,45.2,35.5,127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
